Member,HS_Code,Label_EN,Explanatory_EN
http://data.europa.eu/xsp/cn2024/010121000080,0101.21,0101 21 00 -- Pure-bred breeding animals,Pure-bred breeding horses
http://data.europa.eu/xsp/cn2024/010129000080,0101.29,0101 29 -- Other,Live horses (excl. pure-bred for breeding)
http://data.europa.eu/xsp/cn2024/010130000080,0101.30,0101 30 00 - Asses,Live asses
http://data.europa.eu/xsp/cn2024/010190000080,0101.90,0101 90 00 - Other,Live mules and hinnies
http://data.europa.eu/xsp/cn2024/010221000080,0102.21,0102 21 -- Pure-bred breeding animals,Pure-bred cattle for breeding
http://data.europa.eu/xsp/cn2024/010229000080,0102.29,0102 29 -- Other,Live cattle (excl. pure-bred for breeding)
http://data.europa.eu/xsp/cn2024/010231000080,0102.31,0102 31 00 -- Pure-bred breeding animals,Pure-bred buffalo for breeding
http://data.europa.eu/xsp/cn2024/010239000080,0102.39,0102 39 -- Other,Live buffalo (excl. pure-bred for breeding)
http://data.europa.eu/xsp/cn2024/010290000080,0102.90,0102 90 - Other,Live bovine animals (excl. cattle and buffalo)
http://data.europa.eu/xsp/cn2024/010310000080,0103.10,0103 10 00 - Pure-bred breeding animals,Pure-bred breeding swine
http://data.europa.eu/xsp/cn2024/010391000080,0103.91,0103 91 -- Weighing less than 50 kg,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
http://data.europa.eu/xsp/cn2024/010392000080,0103.92,0103 92 -- Weighing 50 kg or more,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
http://data.europa.eu/xsp/cn2024/010410000080,0104.10,0104 10 - Sheep,Live sheep
http://data.europa.eu/xsp/cn2024/010420000080,0104.20,0104 20 - Goats,Live goats
http://data.europa.eu/xsp/cn2024/010511000080,0105.11,0105 11 -- Fowls of the species Gallus domesticus,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
http://data.europa.eu/xsp/cn2024/010512000080,0105.12,0105 12 00 -- Turkeys,"Live domestic turkeys, weighing <= 185 g"
http://data.europa.eu/xsp/cn2024/010513000080,0105.13,0105 13 00 -- Ducks,"Live domestic ducks, weighing <= 185 g"
http://data.europa.eu/xsp/cn2024/010514000080,0105.14,0105 14 00 -- Geese,"Live domestic geese, weighing <= 185 g"
http://data.europa.eu/xsp/cn2024/010515000080,0105.15,0105 15 00 -- Guinea fowls,"Live domestic guinea fowls, weighing <= 185 g"
http://data.europa.eu/xsp/cn2024/010594000080,0105.94,0105 94 00 -- Fowls of the species Gallus domesticus,"Live fowls of the species Gallus domesticus, weighing > 185"
http://data.europa.eu/xsp/cn2024/010599000080,0105.99,0105 99 -- Other,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
http://data.europa.eu/xsp/cn2024/010611000080,0106.11,0106 11 00 -- Primates,Live primates
http://data.europa.eu/xsp/cn2024/010612000080,0106.12,"0106 12 00 -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
http://data.europa.eu/xsp/cn2024/010613000080,0106.13,0106 13 00 -- Camels and other camelids (Camelidae),Live camels and other camelids [Camelidae]
http://data.europa.eu/xsp/cn2024/010614000080,0106.14,0106 14 -- Rabbits and hares,Live rabbits and hares
http://data.europa.eu/xsp/cn2024/010619000080,0106.19,0106 19 00 -- Other,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
http://data.europa.eu/xsp/cn2024/010620000080,0106.20,0106 20 00 - Reptiles (including snakes and turtles),"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
http://data.europa.eu/xsp/cn2024/010631000080,0106.31,0106 31 00 -- Birds of prey,Live birds of prey
http://data.europa.eu/xsp/cn2024/010632000080,0106.32,"0106 32 00 -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
http://data.europa.eu/xsp/cn2024/010633000080,0106.33,0106 33 00 -- Ostriches; emus (Dromaius novaehollandiae),"Live ostriches, and emus [Dromaius novaehollandiae]"
http://data.europa.eu/xsp/cn2024/010639000080,0106.39,0106 39 -- Other,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
http://data.europa.eu/xsp/cn2024/010641000080,0106.41,0106 41 00 -- Bees,Live bees
http://data.europa.eu/xsp/cn2024/010649000080,0106.49,0106 49 00 -- Other,Live insects (excl. bees)
http://data.europa.eu/xsp/cn2024/010690000080,0106.90,0106 90 00 - Other,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
http://data.europa.eu/xsp/cn2024/020110000080,0201.10,0201 10 00 - Carcases and half-carcases,"Carcases or half-carcases of bovine animals, fresh or chilled"
http://data.europa.eu/xsp/cn2024/020120000080,0201.20,0201 20 - Other cuts with bone in,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
http://data.europa.eu/xsp/cn2024/020130000080,0201.30,0201 30 00 - Boneless,"Fresh or chilled bovine meat, boneless"
http://data.europa.eu/xsp/cn2024/020210000080,0202.10,0202 10 00 - Carcases and half-carcases,Frozen bovine carcases and half-carcases
http://data.europa.eu/xsp/cn2024/020220000080,0202.20,0202 20 - Other cuts with bone in,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)"
http://data.europa.eu/xsp/cn2024/020230000080,0202.30,0202 30 - Boneless,"Frozen, boneless meat of bovine animals"
http://data.europa.eu/xsp/cn2024/020311000080,0203.11,0203 11 -- Carcases and half-carcases,Fresh or chilled carcases and half-carcases of swine
http://data.europa.eu/xsp/cn2024/020312000080,0203.12,"0203 12 -- Hams, shoulders and cuts thereof, with bone in","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
http://data.europa.eu/xsp/cn2024/020319000080,0203.19,0203 19 -- Other,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
http://data.europa.eu/xsp/cn2024/020321000080,0203.21,0203 21 -- Carcases and half-carcases,Frozen carcases and half-carcases of swine
http://data.europa.eu/xsp/cn2024/020322000080,0203.22,"0203 22 -- Hams, shoulders and cuts thereof, with bone in","Frozen hams, shoulders and cuts thereof of swine, with bone in"
http://data.europa.eu/xsp/cn2024/020329000080,0203.29,0203 29 -- Other,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
http://data.europa.eu/xsp/cn2024/020410000080,0204.10,"0204 10 00 - Carcases and half-carcases of lamb, fresh or chilled",Fresh or chilled lamb carcases and half-carcases
http://data.europa.eu/xsp/cn2024/020421000080,0204.21,0204 21 00 -- Carcases and half-carcases,Fresh or chilled sheep carcases and half-carcases (excl. lambs)
http://data.europa.eu/xsp/cn2024/020422000080,0204.22,0204 22 -- Other cuts with bone in,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"
http://data.europa.eu/xsp/cn2024/020423000080,0204.23,0204 23 00 -- Boneless,Fresh or chilled boneless cuts of sheep
http://data.europa.eu/xsp/cn2024/020430000080,0204.30,"0204 30 00 - Carcases and half-carcases of lamb, frozen",Frozen lamb carcases and half-carcases
http://data.europa.eu/xsp/cn2024/020441000080,0204.41,0204 41 00 -- Carcases and half-carcases,Frozen sheep carcases and half-carcases (excl. lambs)
http://data.europa.eu/xsp/cn2024/020442000080,0204.42,0204 42 -- Other cuts with bone in,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)"
http://data.europa.eu/xsp/cn2024/020443000080,0204.43,0204 43 -- Boneless,Frozen boneless cuts of sheep
http://data.europa.eu/xsp/cn2024/020450000080,0204.50,0204 50 - Meat of goats,"Fresh, chilled or frozen meat of goats"
http://data.europa.eu/xsp/cn2024/020500000080,0205.00,"0205 00 Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
http://data.europa.eu/xsp/cn2024/020610000080,0206.10,"0206 10 - Of bovine animals, fresh or chilled",Fresh or chilled edible offal of bovine animals
http://data.europa.eu/xsp/cn2024/020621000080,0206.21,0206 21 00 -- Tongues,Frozen edible bovine tongues
http://data.europa.eu/xsp/cn2024/020622000080,0206.22,0206 22 00 -- Livers,Frozen edible bovine livers
http://data.europa.eu/xsp/cn2024/020629000080,0206.29,0206 29 -- Other,Frozen edible bovine offal (excl. tongues and livers)
http://data.europa.eu/xsp/cn2024/020630000080,0206.30,"0206 30 00 - Of swine, fresh or chilled",Fresh or chilled edible offal of swine
http://data.europa.eu/xsp/cn2024/020641000080,0206.41,0206 41 00 -- Livers,Frozen edible livers of swine
http://data.europa.eu/xsp/cn2024/020649000080,0206.49,0206 49 00 -- Other,"Edible offal of swine, frozen (excl. livers)"
http://data.europa.eu/xsp/cn2024/020680000080,0206.80,"0206 80 - Other, fresh or chilled","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
http://data.europa.eu/xsp/cn2024/020690000080,0206.90,"0206 90 - Other, frozen","Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
http://data.europa.eu/xsp/cn2024/020711000080,0207.11,"0207 11 -- Not cut in pieces, fresh or chilled","Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020712000080,0207.12,"0207 12 -- Not cut in pieces, frozen","Frozen fowls of the species Gallus domesticus, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020713000080,0207.13,"0207 13 -- Cuts and offal, fresh or chilled",Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus
http://data.europa.eu/xsp/cn2024/020714000080,0207.14,"0207 14 -- Cuts and offal, frozen",Frozen cuts and edible offal of fowls of the species Gallus domesticus
http://data.europa.eu/xsp/cn2024/020724000080,0207.24,"0207 24 -- Not cut in pieces, fresh or chilled","Fresh or chilled turkeys of the species domesticus, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020725000080,0207.25,"0207 25 -- Not cut in pieces, frozen","Frozen turkeys of the species domesticus, not cut into pieces"
http://data.europa.eu/xsp/cn2024/020726000080,0207.26,"0207 26 -- Cuts and offal, fresh or chilled",Fresh or chilled cuts and edible offal of turkeys of the species domesticus
