sector,value (kg CO2 eq.)
Additives/Blending Components,125908226.09973015
Air transport services (62),2832577057.0113583
Aluminium and aluminium products,5356506565.096029
Aluminium ores and concentrates,73568379.10508606
Animal products nec,12891759.133543428
Anthracite,36062185.180162996
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,804423.6167731053
BKB/Peat Briquettes,39832048.00032192
Basic iron and steel and of ferro-alloys and first products thereof,10315241995.3373
Beverages,638240276.9010534
Biodiesels,96334960.62481795
Biogas,24677.60762547342
Biogasoline,7649491.721574808
Bitumen,126557605.04056887
Blast Furnace Gas,9608.55982861926
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",63561693.67584607
Cattle,542412659.7572784
"Cement, lime and plaster",1722733453.1811419
Ceramic goods,1677665000.4984431
Cereal grains nec,582938879.6040494
Charcoal,53557497.44442717
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",86381197.90955153
Chemicals nec,9242047504.576797
Coal Tar,818292.4467413338
Coke Oven Coke,1285598052.446671
Coke oven gas,0.0
Coking Coal,79174598.30743091
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),400391196.18447256
Construction work (45),1966580680.6168556
Copper ores and concentrates,791.6670805645427
Copper products,1903719203.996015
Crops nec,615045017.2499634
"Crude petroleum and services related to crude oil extraction, excluding surveying",10685797725.369823
Dairy products,1417225140.4484005
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),672538614.1124238
Electrical machinery and apparatus n.e.c. (31),6003762601.814972
Electricity by Geothermal,107254.48357499616
Electricity by biomass and waste,45710402.90117693
Electricity by coal,684885171.6328871
Electricity by gas,1364397870.4183404
Electricity by hydro,44133739.56985842
Electricity by nuclear,61850174.22466649
Electricity by petroleum and other oil derivatives,183825331.3247902
Electricity by solar photovoltaic,5934286.503955934
Electricity by solar thermal,787621.3946961669
"Electricity by tide, wave, ocean",11636.872994789719
Electricity by wind,19422646.021817334
Electricity nec,472982.6230985578
Ethane,1044143.8975464004
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",6638402889.458954
"Financial intermediation services, except insurance and pension funding services (65)",960806837.9408875
Fish and other fishing products; services incidental of fishing (05),718991956.0913602
Fish products,1697207661.3668635
Food products nec,1645529286.7318687
Food waste for treatment: biogasification and land application,2478704.7382823164
Food waste for treatment: composting and land application,11126282.487728832
Food waste for treatment: incineration,6592745.621846745
Food waste for treatment: landfill,11718651.058432318
Food waste for treatment: waste water treatment,10696676.229518162
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),3526536430.9952064
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,4709759291.449264
Gasoline Type Jet Fuel,0.0
Glass and glass products,2719546603.795113
Health and social work services (85),460788700.66713953
Heavy Fuel Oil,2171285240.446538
Hotel and restaurant services (55),8707922322.502356
Inert/metal/hazardous waste for treatment: landfill,10831491.597610252
Inland water transportation services,58737396.64369848
"Insurance and pension funding services, except compulsory social security services (66)",420569237.7092593
Intert/metal waste for treatment: incineration,22439139.55132281
Iron ores,39087.319956404026
Kerosene,0.0
Kerosene Type Jet Fuel,3820399082.195979
"Lead, zinc and tin and products thereof",471785970.035046
"Lead, zinc and tin ores and concentrates",37095762.027989894
Leather and leather products (19),768167991.4779634
Lignite/Brown Coal,24100613.088326573
Liquefied Petroleum Gases (LPG),601936122.4381074
Lubricants,3515860.102209312
Machinery and equipment n.e.c. (29),3873963286.273509
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,316145531.1564224
Meat products nec,63969079.56667639
"Medical, precision and optical instruments, watches and clocks (33)",3206928913.248001
Membership organisation services n.e.c. (91),37249404.604231276
Motor Gasoline,1031344869.5622349
"Motor vehicles, trailers and semi-trailers (34)",3198522431.7901926
N-fertiliser,16204015.83227173
Naphtha,666879866.6924794
Natural Gas Liquids,1794558678.552852
"Natural gas and services related to natural gas extraction, excluding surveying",1430038976.3780901
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,62435254.861159585
Nuclear fuel,91924275.26128602
Office machinery and computers (30),6445942648.595595
Oil seeds,1226884432.038285
Oil/hazardous waste for treatment: incineration,10307199.661420172
Other Bituminous Coal,1002371536.5955514
Other Hydrocarbons,194625.8483427475
Other Liquid Biofuels,400270.46505815425
Other business services (74),3640732920.259918
Other land transportation services,5757462532.099823
Other non-ferrous metal ores and concentrates,338760.9401199567
Other non-ferrous metal products,1075091152.3112407
Other non-metallic mineral products,1513032825.4919422
Other services (93),92392533.91790771
Other transport equipment (35),4795266823.132399
Other waste for treatment: waste water treatment,15339626.223329695
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,1579915613.438702
Paddy rice,51729900.368911326
Paper and paper products,3235535350.45802
Paper and wood waste for treatment: composting and land application,45110.340636102475
Paper for treatment: landfill,5597918.486967992
Paper waste for treatment: biogasification and land application,273872.20144421456
Paper waste for treatment: incineration,6176337.499338531
Paraffin Waxes,14300562.000247464
Patent Fuel,761950.1413583441
Peat,827563.6781150787
Petroleum Coke,46074214.93592923
Pigs,20061623.07673732
Plant-based fibers,6650358.306802012
Plastic waste for treatment: incineration,4495940.466987631
Plastic waste for treatment: landfill,2254966.1510983747
"Plastics, basic",5032204881.301797
Post and telecommunication services (64),507223864.6089071
Poultry,47615750.289007574
Precious metal ores and concentrates,27992.66950824441
Precious metals,314201383.68713653
Printed matter and recorded media (22),307463704.91248924
Private households with employed persons (95),2922450892.3414106
Processed rice,71409098.25152667
"Products of forestry, logging and related services (02)",199733742.86969578
Products of meat cattle,575398080.3849162
Products of meat pigs,321237844.5706568
Products of meat poultry,83588710.03046474
Public administration and defence services; compulsory social security services (75),822951132.7921755
Pulp,414723627.29435676
"Radio, television and communication equipment and apparatus (32)",535488053.53934515
Railway transportation services,2398483222.9515533
Raw milk,0.0
Real estate services (70),1625656766.8231106
"Recreational, cultural and sporting services (92)",383154160.5109329
Refinery Feedstocks,83895607.47533898
Refinery Gas,296914.2031567533
Renting services of machinery and equipment without operator and of personal and household goods (71),446405759.3930714
Research and development services (73),25964744.014925387
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",607788061.0141445
Retail trade services of motor fuel,83005350.0164098
Rubber and plastic products (25),8845865462.085258
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",386895302.28760666
Sand and clay,437174533.11368936
Sea and coastal water transportation services,17520130345.28801
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),349347678.28474563
Sewage sludge for treatment: biogasification and land application,12611969.51142637
Steam and hot water supply services,0.0
Stone,74888990.68131475
Sub-Bituminous Coal,3273704.0746120387
Sugar,130736830.94782661
"Sugar cane, sugar beet",463166.52570522163
Supporting and auxiliary transport services; travel agency services (63),2300562984.847946
Textiles (17),3411708600.701143
Textiles waste for treatment: incineration,2882817.0545491823
Textiles waste for treatment: landfill,1400852.71338773
Tobacco products (16),4200326.808056038
Transmission services of electricity,0.0
Transportation services via pipelines,582098289.5730357
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",315468735.2404665
Wearing apparel; furs (18),2423817175.890257
Wheat,156389157.11063802
White Spirit & SBP,7834154.8900887845
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1880963108.047939
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),4072518468.5709424
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,5952594.65120819
Wood waste for treatment: landfill,3318530.377860762
"Wool, silk-worm cocoons",2335919.7962916247
products of Vegetable oils and fats,644111294.1513364
