sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,4210292.070437815
Air transport services (62),18479110841.16955
Aluminium and aluminium products,73836479.40866493
Aluminium ores and concentrates,161193.04596135442
Animal products nec,359816765.62606055
Anthracite,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,3636.680882026939
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,566550791.0058291
Beverages,8189629390.75079
Biodiesels,185018829.1093891
Biogas,0.0
Biogasoline,436926748.91315097
Bitumen,1280723.1665592752
Blast Furnace Gas,74.66838994941942
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",2985356.5711974734
Cattle,3554699876.22386
"Cement, lime and plaster",40340028.292639524
Ceramic goods,327185442.469564
Cereal grains nec,600709184.4400846
Charcoal,12671689.069703482
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",24001916.6317574
Chemicals nec,4974657436.064961
Coal Tar,21572270.64674729
Coke Oven Coke,56511104.919678316
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",783821005.9044135
Computer and related services (72),4909879899.973728
Construction work (45),64599679926.000595
Copper ores and concentrates,0.0
Copper products,24824667.471020564
Crops nec,5647169.990021059
"Crude petroleum and services related to crude oil extraction, excluding surveying",251633.77835600157
Dairy products,15898147391.009407
Distribution and trade services of electricity,5340513605.913861
Distribution services of gaseous fuels through mains,4817235899.901027
Education services (80),6187116963.051476
Electrical machinery and apparatus n.e.c. (31),5189.399744418675
Electricity by Geothermal,17507.766766103017
Electricity by biomass and waste,24843432.83557232
Electricity by coal,1016535270.2024348
Electricity by gas,8913803384.188107
Electricity by hydro,288430918.8139741
Electricity by nuclear,3375940893.7320786
Electricity by petroleum and other oil derivatives,1250030758.8518138
Electricity by solar photovoltaic,61681013.04769569
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",2453589.6314456584
Electricity by wind,181540086.2527231
Electricity nec,4155889.7005332503
Ethane,150073.07853287572
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",3484114481.222156
"Financial intermediation services, except insurance and pension funding services (65)",1029657119.8615665
Fish and other fishing products; services incidental of fishing (05),486920756.17858446
Fish products,302186002.22414374
Food products nec,20325394118.119194
Food waste for treatment: biogasification and land application,17760258.310333677
Food waste for treatment: composting and land application,166572393.28320435
Food waste for treatment: incineration,176277247.39438155
Food waste for treatment: landfill,397074051.5584124
Food waste for treatment: waste water treatment,337615441.46856505
Foundry work services,537950.2487212471
Furniture; other manufactured goods n.e.c. (36),3584985282.2990103
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,732980364.4319661
Gasoline Type Jet Fuel,0.0
Glass and glass products,90652697.94459102
Health and social work services (85),14223590169.972061
Heavy Fuel Oil,219680191.76718006
Hotel and restaurant services (55),16847623999.143028
Inert/metal/hazardous waste for treatment: landfill,389914065.41041434
Inland water transportation services,91221259.36479618
"Insurance and pension funding services, except compulsory social security services (66)",3436705758.3416014
Intert/metal waste for treatment: incineration,220939566.49316382
Iron ores,0.0
Kerosene,702334.229102815
Kerosene Type Jet Fuel,662305748.6476629
"Lead, zinc and tin and products thereof",74150666.73810795
"Lead, zinc and tin ores and concentrates",0.0
Leather and leather products (19),2003284152.0699964
Lignite/Brown Coal,44.0296171557076
Liquefied Petroleum Gases (LPG),267084308.77113864
Lubricants,2068.741974357779
Machinery and equipment n.e.c. (29),4213908289.7183037
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,2173620731.7305965
Meat products nec,573669729.7221612
"Medical, precision and optical instruments, watches and clocks (33)",0.0
Membership organisation services n.e.c. (91),1024557514.9816645
Motor Gasoline,8131588084.267922
"Motor vehicles, trailers and semi-trailers (34)",7903322972.9330845
N-fertiliser,4288560.924888598
Naphtha,5354820.901620334
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",248755910.30941257
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,3485466.9742513495
Nuclear fuel,1209264399.8358102
Office machinery and computers (30),1710626785.5738254
Oil seeds,690447073.5494381
Oil/hazardous waste for treatment: incineration,219959726.54514936
Other Bituminous Coal,0.0
Other Hydrocarbons,0.0
Other Liquid Biofuels,0.0
Other business services (74),8232807505.982132
Other land transportation services,6870847093.953976
Other non-ferrous metal ores and concentrates,141.6806992297417
Other non-ferrous metal products,5453083.117076014
Other non-metallic mineral products,237890887.64841136
Other services (93),1071425414.027184
Other transport equipment (35),10563615292.604666
Other waste for treatment: waste water treatment,596572681.4447714
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,69836308.34892258
Paddy rice,1616673.5229927176
Paper and paper products,550872799.8677294
Paper and wood waste for treatment: composting and land application,181004.6498963796
Paper for treatment: landfill,90712349.00077346
Paper waste for treatment: biogasification and land application,2089596.63821273
Paper waste for treatment: incineration,184804112.80939952
Paraffin Waxes,660967.3762271715
Patent Fuel,0.0
Peat,0.0
Petroleum Coke,162539.02495978345
Pigs,513389643.75347865
Plant-based fibers,3746487.2705670856
Plastic waste for treatment: incineration,71803315.61913098
Plastic waste for treatment: landfill,27531173.68782597
"Plastics, basic",8264764742.940297
Post and telecommunication services (64),3142765337.2988906
Poultry,2237244202.009133
Precious metal ores and concentrates,0.0
Precious metals,87478639.12902342
Printed matter and recorded media (22),2448771725.6236286
Private households with employed persons (95),57466241.05287761
Processed rice,8187394.372468121
"Products of forestry, logging and related services (02)",351458014.8314071
Products of meat cattle,14781711747.073862
Products of meat pigs,1479939420.1207042
Products of meat poultry,2314787709.542507
Public administration and defence services; compulsory social security services (75),15847301790.006458
Pulp,40539861.54383727
"Radio, television and communication equipment and apparatus (32)",5238.160592432875
Railway transportation services,8783615269.538
Raw milk,157985756.3146638
Real estate services (70),6337988216.113195
"Recreational, cultural and sporting services (92)",8876991397.633533
Refinery Feedstocks,0.0
Refinery Gas,302.35308090584294
Renting services of machinery and equipment without operator and of personal and household goods (71),954857963.8670597
Research and development services (73),6597157835.879154
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",18039281517.153397
Retail trade services of motor fuel,3952871.7548423395
Rubber and plastic products (25),1552181339.3074796
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",5435537084.083068
Sand and clay,133266079.69225447
Sea and coastal water transportation services,4657172690.156184
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),9277785.024929635
Sewage sludge for treatment: biogasification and land application,164521756.69880685
Steam and hot water supply services,0.0
Stone,39484333.98444774
Sub-Bituminous Coal,0.0
Sugar,830682480.7015396
"Sugar cane, sugar beet",63183.011342360296
Supporting and auxiliary transport services; travel agency services (63),3595173215.2354894
Textiles (17),615565922.0505472
Textiles waste for treatment: incineration,39036695.228930555
Textiles waste for treatment: landfill,17976622.04630478
Tobacco products (16),43075926.79212935
Transmission services of electricity,1563531977.3169534
Transportation services via pipelines,2341816.1563235316
Uranium and thorium ores (12),0.05826507240207666
"Vegetables, fruit, nuts",3216004173.263052
Wearing apparel; furs (18),1078252537.1386986
Wheat,1392701176.4343274
White Spirit & SBP,5616498.419970676
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",13558666202.049639
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),864162981.0832655
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,51210687.88785447
Wood waste for treatment: landfill,48657628.156439796
"Wool, silk-worm cocoons",497762.27608025284
products of Vegetable oils and fats,14685855.34985611
