sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,310516197.64352447
Air transport services (62),23255212307.975014
Aluminium and aluminium products,28690428768.93644
Aluminium ores and concentrates,9520573.508481579
Animal products nec,574553567.6024185
Anthracite,2691369748.9515657
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,4152249.123015156
BKB/Peat Briquettes,18871711.135552753
Basic iron and steel and of ferro-alloys and first products thereof,100591572982.13377
Beverages,2886197487.117226
Biodiesels,592629877.8917139
Biogas,284154.3987769192
Biogasoline,420262447.9156797
Bitumen,485936008.4556212
Blast Furnace Gas,5025483.20871818
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",332558362.8542047
Cattle,51801153.11323166
"Cement, lime and plaster",13234846342.343023
Ceramic goods,9365529548.842514
Cereal grains nec,5368883822.22753
Charcoal,485902797.61651903
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",359497994.7373948
Chemicals nec,77987966017.69579
Coal Tar,220771698.67559966
Coke Oven Coke,961891555.4358691
Coke oven gas,2297927.738227697
Coking Coal,1698620956.2271492
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),3226642756.9980907
Construction work (45),8078179943.197352
Copper ores and concentrates,268683390.1428747
Copper products,9383204546.613726
Crops nec,7550397137.993416
"Crude petroleum and services related to crude oil extraction, excluding surveying",218422472303.35385
Dairy products,2591229928.705071
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),1359065352.2697563
Electrical machinery and apparatus n.e.c. (31),36013156737.45644
Electricity by Geothermal,23661721.112870395
Electricity by biomass and waste,33142432.52623978
Electricity by coal,16609265498.583902
Electricity by gas,10133734102.87065
Electricity by hydro,406438483.95280445
Electricity by nuclear,358651677.3658269
Electricity by petroleum and other oil derivatives,197631565.79903397
Electricity by solar photovoltaic,35747039.72067664
Electricity by solar thermal,355747.3102676731
"Electricity by tide, wave, ocean",14073.183577928196
Electricity by wind,37158678.33919012
Electricity nec,306802.1455925255
Ethane,259057092.8168447
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",46871050702.47422
"Financial intermediation services, except insurance and pension funding services (65)",3465507734.800029
Fish and other fishing products; services incidental of fishing (05),1972581622.8517969
Fish products,4802315897.112827
Food products nec,5977810237.947304
Food waste for treatment: biogasification and land application,3121511.149759118
Food waste for treatment: composting and land application,125658511.17605029
Food waste for treatment: incineration,36981866.268290564
Food waste for treatment: landfill,54900350.97291064
Food waste for treatment: waste water treatment,273891444.2091002
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),24283412804.588287
Gas Coke,0.0
Gas Works Gas,18814.41310966548
Gas/Diesel Oil,30288380174.739788
Gasoline Type Jet Fuel,0.0
Glass and glass products,11728315103.488846
Health and social work services (85),2155693438.336437
Heavy Fuel Oil,12271442778.318096
Hotel and restaurant services (55),26069825554.72741
Inert/metal/hazardous waste for treatment: landfill,33739576.04594228
Inland water transportation services,684560880.8026236
"Insurance and pension funding services, except compulsory social security services (66)",1095614945.0594335
Intert/metal waste for treatment: incineration,113807058.68590732
Iron ores,1935917.4029742747
Kerosene,124757623.05996002
Kerosene Type Jet Fuel,23182792636.317196
"Lead, zinc and tin and products thereof",5283885349.418532
"Lead, zinc and tin ores and concentrates",55367065.16535861
Leather and leather products (19),7489383305.705719
Lignite/Brown Coal,24488813.001317497
Liquefied Petroleum Gases (LPG),10169076217.45403
Lubricants,32821076.645775363
Machinery and equipment n.e.c. (29),387635690.2864358
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,1343282343.4487457
Meat products nec,415334783.9166213
"Medical, precision and optical instruments, watches and clocks (33)",4597647448.350286
Membership organisation services n.e.c. (91),298761959.583501
Motor Gasoline,8263744735.958784
"Motor vehicles, trailers and semi-trailers (34)",26223162734.618626
N-fertiliser,504183654.68171704
Naphtha,3796011851.723131
Natural Gas Liquids,8461112379.82687
"Natural gas and services related to natural gas extraction, excluding surveying",49632274071.69591
Nickel ores and concentrates,713600.3545866532
Non-specified Petroleum Products,607535699.9652275
Nuclear fuel,91920724.5640287
Office machinery and computers (30),30852386343.19129
Oil seeds,9696603059.49299
Oil/hazardous waste for treatment: incineration,24668780.432618357
Other Bituminous Coal,54719553916.663795
Other Hydrocarbons,30856.74724208353
Other Liquid Biofuels,34765.41973789743
Other business services (74),19382260707.506287
Other land transportation services,14297936007.506178
Other non-ferrous metal ores and concentrates,2881583.6883947784
Other non-ferrous metal products,9804042616.80857
Other non-metallic mineral products,8527703648.73267
Other services (93),431485053.5295091
Other transport equipment (35),9852564593.629808
Other waste for treatment: waste water treatment,138005862.03187844
Oxygen Steel Furnace Gas,17796.84022308005
P- and other fertiliser,10851433146.614788
Paddy rice,203144026.25509465
Paper and paper products,6091015154.274047
Paper and wood waste for treatment: composting and land application,256159.47282817887
Paper for treatment: landfill,17654456.211368263
Paper waste for treatment: biogasification and land application,397532.55103650526
Paper waste for treatment: incineration,35205910.982717395
Paraffin Waxes,169854130.03023872
Patent Fuel,21464111.39521657
Peat,22937311.418066014
Petroleum Coke,464587235.9981734
Pigs,7007892.100312031
Plant-based fibers,408632182.3357173
Plastic waste for treatment: incineration,16682765.21753837
Plastic waste for treatment: landfill,5520606.967895338
"Plastics, basic",6194110195.667804
Post and telecommunication services (64),2352512627.95195
Poultry,130430580.78989218
Precious metal ores and concentrates,645470781.9313333
Precious metals,1019768386.2750816
Printed matter and recorded media (22),1665179868.06513
Private households with employed persons (95),4431920790.568267
Processed rice,659667322.9585304
"Products of forestry, logging and related services (02)",1001291645.596043
Products of meat cattle,5481818975.95391
Products of meat pigs,45355700.732670955
Products of meat poultry,666633277.1169305
Public administration and defence services; compulsory social security services (75),3068257065.5632324
Pulp,2042603486.890141
"Radio, television and communication equipment and apparatus (32)",4048679963.718924
Railway transportation services,4278724588.230017
Raw milk,0.0
Real estate services (70),4342807665.133598
"Recreational, cultural and sporting services (92)",1096157779.1268687
Refinery Feedstocks,3782564.2569738873
Refinery Gas,3888334.6757426434
Renting services of machinery and equipment without operator and of personal and household goods (71),260212230.18565184
Research and development services (73),3487162063.41172
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",4528988424.465643
Retail trade services of motor fuel,379040139.5344849
Rubber and plastic products (25),35661783258.320404
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1707277589.7049408
Sand and clay,219984912.511434
Sea and coastal water transportation services,100208412700.98203
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),663269081.6421361
Sewage sludge for treatment: biogasification and land application,50218230.329449534
Steam and hot water supply services,0.0
Stone,48490148.91619325
Sub-Bituminous Coal,175689112.57270998
Sugar,674601855.6591449
"Sugar cane, sugar beet",1067906.441584514
Supporting and auxiliary transport services; travel agency services (63),6964189622.411151
Textiles (17),12485740510.123882
Textiles waste for treatment: incineration,7114953.248649245
Textiles waste for treatment: landfill,2788400.1966151353
Tobacco products (16),156550301.7778358
Transmission services of electricity,0.0
Transportation services via pipelines,11869587945.962896
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",9916910037.401707
Wearing apparel; furs (18),6007802358.650584
Wheat,1996233013.1513383
White Spirit & SBP,85798323.51669179
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",7784367752.692176
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),13972265797.192354
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,19596500.17808094
Wood waste for treatment: landfill,4371770.99338777
"Wool, silk-worm cocoons",373788810.8816038
products of Vegetable oils and fats,10485022844.701454
