sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,54315645.45723457
Air transport services (62),7045295620.464913
Aluminium and aluminium products,1547454014.3940327
Aluminium ores and concentrates,14874328.611856738
Animal products nec,125487233.16024713
Anthracite,246625.12009862243
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,6795820.876632269
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,26418046444.681126
Beverages,5999737990.597652
Biodiesels,133667272.16792968
Biogas,48529400.1064883
Biogasoline,6759986.981263956
Bitumen,190230521.02412483
Blast Furnace Gas,10718020.20459876
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",1355810301.0451496
Cattle,32413741332.42495
"Cement, lime and plaster",23378737053.61369
Ceramic goods,993820196.6680077
Cereal grains nec,7138714603.420822
Charcoal,391875.2004585709
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",306669705.5272271
Chemicals nec,5600148112.463877
Coal Tar,430591897.107563
Coke Oven Coke,2786781986.0899096
Coke oven gas,0.0
Coking Coal,8912.257560044687
"Collected and purified water, distribution services of water (41)",1028036014.697714
Computer and related services (72),2531397109.072575
Construction work (45),10933382179.038076
Copper ores and concentrates,0.0
Copper products,2367431602.2001615
Crops nec,113007483.23319677
"Crude petroleum and services related to crude oil extraction, excluding surveying",2627902976.615968
Dairy products,20086892921.53784
Distribution and trade services of electricity,4370084311.976442
Distribution services of gaseous fuels through mains,9309628212.340366
Education services (80),942722600.5462625
Electrical machinery and apparatus n.e.c. (31),227095948.96560183
Electricity by Geothermal,1481778.45329031
Electricity by biomass and waste,112188214.07082915
Electricity by coal,1794889665.0689235
Electricity by gas,10241152585.02277
Electricity by hydro,459603574.7682814
Electricity by nuclear,2971639354.294739
Electricity by petroleum and other oil derivatives,2522001337.0667953
Electricity by solar photovoltaic,106635952.87978785
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",4428424.913718173
Electricity by wind,303606685.77450544
Electricity nec,7829642.378107276
Ethane,782495.1249601481
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",10598180068.386652
"Financial intermediation services, except insurance and pension funding services (65)",4897091260.432159
Fish and other fishing products; services incidental of fishing (05),510665169.7178201
Fish products,2452846070.942256
Food products nec,11556820532.257053
Food waste for treatment: biogasification and land application,170390736.75898218
Food waste for treatment: composting and land application,968004691.8255649
Food waste for treatment: incineration,1570040495.4752219
Food waste for treatment: landfill,1589783479.528205
Food waste for treatment: waste water treatment,1001028803.7167501
Foundry work services,4181663964.5410314
Furniture; other manufactured goods n.e.c. (36),709931032.9568473
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,4122472650.1237774
Gasoline Type Jet Fuel,0.0
Glass and glass products,1695380187.22474
Health and social work services (85),125853138.50076921
Heavy Fuel Oil,1392997821.0281138
Hotel and restaurant services (55),1072641763.0685993
Inert/metal/hazardous waste for treatment: landfill,2021134231.809874
Inland water transportation services,30086125.75220451
"Insurance and pension funding services, except compulsory social security services (66)",1526199785.4608335
Intert/metal waste for treatment: incineration,1598523505.6519399
Iron ores,0.0
Kerosene,293209.5162820958
Kerosene Type Jet Fuel,3329913062.5256176
"Lead, zinc and tin and products thereof",45203193.53288227
"Lead, zinc and tin ores and concentrates",0.0
Leather and leather products (19),1038731647.0620573
Lignite/Brown Coal,3596.5468857775486
Liquefied Petroleum Gases (LPG),319101707.62958336
Lubricants,150077611.36982754
Machinery and equipment n.e.c. (29),8506917290.49112
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,1138194290.8575807
Meat products nec,720164914.9903089
"Medical, precision and optical instruments, watches and clocks (33)",0.0
Membership organisation services n.e.c. (91),371603989.1917705
Motor Gasoline,1581110812.649632
"Motor vehicles, trailers and semi-trailers (34)",3526413673.6463394
N-fertiliser,189307223.22005853
Naphtha,1014268266.5460287
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",111677731.9046332
Nickel ores and concentrates,22108667.949246224
Non-specified Petroleum Products,35218867.40941831
Nuclear fuel,160934871.8215019
Office machinery and computers (30),152719006.49201742
Oil seeds,5716463962.049779
Oil/hazardous waste for treatment: incineration,1492933903.888724
Other Bituminous Coal,931663.2438414457
Other Hydrocarbons,0.0
Other Liquid Biofuels,20644365.834161267
Other business services (74),9068039484.944426
Other land transportation services,1961822484.3768744
Other non-ferrous metal ores and concentrates,998592.4283837895
Other non-ferrous metal products,74795848.03979306
Other non-metallic mineral products,1884852073.8281438
Other services (93),324469177.20714194
Other transport equipment (35),9463884600.998966
Other waste for treatment: waste water treatment,3427181200.897856
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,222452288.056251
Paddy rice,21771930.467852365
Paper and paper products,3437882771.255579
Paper and wood waste for treatment: composting and land application,5547954.580692401
Paper for treatment: landfill,589302916.6841383
Paper waste for treatment: biogasification and land application,28001365.352259416
Paper waste for treatment: incineration,1508560788.0208318
Paraffin Waxes,19921556.0860575
Patent Fuel,0.0
Peat,0.0
Petroleum Coke,10476800.437837513
Pigs,2209321983.69369
Plant-based fibers,47837353.08054275
Plastic waste for treatment: incineration,794746229.3707017
Plastic waste for treatment: landfill,363925325.05544114
"Plastics, basic",7117564532.6455
Post and telecommunication services (64),3088821673.8205056
Poultry,2041761342.7616887
Precious metal ores and concentrates,0.0
Precious metals,80776298.94755912
Printed matter and recorded media (22),1378897996.1849856
Private households with employed persons (95),14952846.786317466
Processed rice,46644401.613628045
"Products of forestry, logging and related services (02)",2385220639.500358
Products of meat cattle,6771213183.048897
Products of meat pigs,1055866060.2330319
Products of meat poultry,413636051.1027713
Public administration and defence services; compulsory social security services (75),5982820333.032209
Pulp,3607625564.729922
"Radio, television and communication equipment and apparatus (32)",111729724.89963119
Railway transportation services,9978679847.986113
Raw milk,26400763325.075924
Real estate services (70),1558471324.2326012
"Recreational, cultural and sporting services (92)",2109682381.5738745
Refinery Feedstocks,433338871.3475387
Refinery Gas,22971247.993675802
Renting services of machinery and equipment without operator and of personal and household goods (71),4872193897.660913
Research and development services (73),4717211939.068474
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",449013478.5313177
Retail trade services of motor fuel,108900854.89709388
Rubber and plastic products (25),11333895049.857908
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",150760400.23962623
Sand and clay,1377668383.666812
Sea and coastal water transportation services,58886811227.328094
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
