sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,526158.5829990488
Air transport services (62),16596515980.577913
Aluminium and aluminium products,85761900.39899468
Aluminium ores and concentrates,56382.89428650839
Animal products nec,1603624662.6394737
Anthracite,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,42785.28959491917
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,362977979.5461108
Beverages,6693192360.635475
Biodiesels,73720132.34017509
Biogas,1001.6870574033359
Biogasoline,154899376.20728892
Bitumen,1396147.5502804627
Blast Furnace Gas,0.7079092548642315
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",5430311.0747090755
Cattle,4400042756.606487
"Cement, lime and plaster",97337596.70639114
Ceramic goods,370601601.7819789
Cereal grains nec,1230528088.190579
Charcoal,0.0
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",3746173.2464222996
Chemicals nec,2558446854.5080256
Coal Tar,20596166.58522377
Coke Oven Coke,120086794.18728311
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",915013828.4776784
Computer and related services (72),5593510239.898049
Construction work (45),60801704686.04469
Copper ores and concentrates,0.0
Copper products,20465763.537191443
Crops nec,16648051.550359331
"Crude petroleum and services related to crude oil extraction, excluding surveying",9317994.221395742
Dairy products,12896640452.129278
Distribution and trade services of electricity,6592329297.760571
Distribution services of gaseous fuels through mains,5285015058.282296
Education services (80),7806899487.074772
Electrical machinery and apparatus n.e.c. (31),134784.48302194677
Electricity by Geothermal,5181.069357258436
Electricity by biomass and waste,78752637.06915034
Electricity by coal,515032281.1056354
Electricity by gas,1687004988.6042967
Electricity by hydro,115807108.0327448
Electricity by nuclear,2078441750.393158
Electricity by petroleum and other oil derivatives,942772954.2327676
Electricity by solar photovoltaic,12710556.33656975
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",1863300.715935992
Electricity by wind,106824864.15330382
Electricity nec,2476951.3704652824
Ethane,9903.950857365291
Extra-territorial organizations and bodies,0.0
