sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,166245281.19092953
Air transport services (62),3147312922.0947704
Aluminium and aluminium products,5854980940.702517
Aluminium ores and concentrates,76829397.59736703
Animal products nec,13606536.011233868
Anthracite,108250389.83239764
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,1149388.2558778692
BKB/Peat Briquettes,69016145.73532557
Basic iron and steel and of ferro-alloys and first products thereof,11280216366.640116
Beverages,690546344.8507698
Biodiesels,152504766.6763171
Biogas,26231.566216251475
Biogasoline,9480733.328092048
Bitumen,198788892.0902424
Blast Furnace Gas,11107.439057648473
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",67975727.47723176
Cattle,546842543.0323609
"Cement, lime and plaster",4311695357.003822
Ceramic goods,1830368537.3496618
Cereal grains nec,603768478.862735
Charcoal,60083237.31083848
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",113560715.47370681
Chemicals nec,10883648923.998913
Coal Tar,898726.2372002152
Coke Oven Coke,1392129298.8049765
Coke oven gas,0.0
Coking Coal,275295557.13284016
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),448386676.27917445
Construction work (45),2517966363.306398
Copper ores and concentrates,827.7453288367807
Copper products,2282711213.870121
Crops nec,649999854.7854853
"Crude petroleum and services related to crude oil extraction, excluding surveying",33426754359.93965
Dairy products,1459502748.0309021
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),769284798.9065989
Electrical machinery and apparatus n.e.c. (31),6799176994.581503
Electricity by Geothermal,124926.46917071112
Electricity by biomass and waste,47015954.390902005
Electricity by coal,704648336.555108
Electricity by gas,1426273012.8687756
Electricity by hydro,53144932.62670158
Electricity by nuclear,69905015.5477367
Electricity by petroleum and other oil derivatives,190765747.1586141
Electricity by solar photovoltaic,7128154.481963324
Electricity by solar thermal,924947.4800086577
"Electricity by tide, wave, ocean",13393.52113181183
Electricity by wind,23401868.301140822
Electricity nec,535679.8911924687
Ethane,1504244.4257210817
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",7401297820.404131
"Financial intermediation services, except insurance and pension funding services (65)",1059473162.3941209
Fish and other fishing products; services incidental of fishing (05),763245200.7069873
Fish products,1894966423.5383677
Food products nec,1752189323.285725
Food waste for treatment: biogasification and land application,2654394.987792989
Food waste for treatment: composting and land application,12576285.020204885
Food waste for treatment: incineration,7264606.139773183
Food waste for treatment: landfill,12444434.020594532
Food waste for treatment: waste water treatment,11134189.576542588
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),3930190829.4286075
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,7074188822.268873
Gasoline Type Jet Fuel,0.0
Glass and glass products,2981136477.5333066
Health and social work services (85),511691441.1034752
Heavy Fuel Oil,3279150840.5103273
Hotel and restaurant services (55),9440359934.2479
Inert/metal/hazardous waste for treatment: landfill,12226637.857622348
Inland water transportation services,64655521.51237427
"Insurance and pension funding services, except compulsory social security services (66)",465281631.3001105
Intert/metal waste for treatment: incineration,26057385.100561783
Iron ores,44124.739113372074
Kerosene,0.0
Kerosene Type Jet Fuel,5394828023.953007
"Lead, zinc and tin and products thereof",581051792.9534173
"Lead, zinc and tin ores and concentrates",41012088.085483566
Leather and leather products (19),858678512.0933506
Lignite/Brown Coal,45158062.92980693
Liquefied Petroleum Gases (LPG),1106464746.5037713
Lubricants,5185395.388452542
Machinery and equipment n.e.c. (29),4349704017.963799
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,319027872.5211135
Meat products nec,70084371.92145918
"Medical, precision and optical instruments, watches and clocks (33)",3684117876.8226185
Membership organisation services n.e.c. (91),42507739.21025713
Motor Gasoline,1534022198.5384958
"Motor vehicles, trailers and semi-trailers (34)",3610601537.1515913
N-fertiliser,17978358.686327185
Naphtha,1046318747.3709859
Natural Gas Liquids,5067341115.3878975
"Natural gas and services related to natural gas extraction, excluding surveying",2941362381.481901
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,90799118.74690863
Nuclear fuel,108610324.96918687
Office machinery and computers (30),7236344414.944232
Oil seeds,1294448340.6055114
Oil/hazardous waste for treatment: incineration,11109381.722263714
Other Bituminous Coal,2906324708.853639
Other Hydrocarbons,436296.54989045777
Other Liquid Biofuels,448709.2594726476
Other business services (74),4053135796.7581224
Other land transportation services,6444903840.460527
Other non-ferrous metal ores and concentrates,369978.4858525145
Other non-ferrous metal products,1187224422.5692513
Other non-metallic mineral products,1673742391.4415843
Other services (93),102101587.03014366
Other transport equipment (35),5354117479.451078
Other waste for treatment: waste water treatment,16016797.093090586
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,1796358832.815484
Paddy rice,52311251.27383737
Paper and paper products,3574933330.784548
Paper and wood waste for treatment: composting and land application,48740.417272926476
Paper for treatment: landfill,6144390.208448062
Paper waste for treatment: biogasification and land application,314963.2013119941
Paper waste for treatment: incineration,6805613.611065406
Paraffin Waxes,20667324.12326973
Patent Fuel,3847481.9811682445
Peat,1897149.2660896103
Petroleum Coke,64899144.57201119
Pigs,20497416.611126937
Plant-based fibers,6993103.897394457
Plastic waste for treatment: incineration,5123751.522997065
Plastic waste for treatment: landfill,2428659.221840634
"Plastics, basic",5986392140.939981
Post and telecommunication services (64),569429532.4452813
Poultry,48882553.73918961
Precious metal ores and concentrates,31337.766451756197
Precious metals,375839998.79819185
Printed matter and recorded media (22),344442800.5447663
Private households with employed persons (95),3176709519.415834
Processed rice,74948770.33054668
"Products of forestry, logging and related services (02)",283867241.88383555
Products of meat cattle,590116381.2206227
Products of meat pigs,332785582.02340454
Products of meat poultry,89862692.96955863
Public administration and defence services; compulsory social security services (75),898937745.7610819
Pulp,457664712.3490248
"Radio, television and communication equipment and apparatus (32)",633924959.3181847
Railway transportation services,2613398722.8911276
Raw milk,0.0
Real estate services (70),1821313460.0974338
"Recreational, cultural and sporting services (92)",420375713.77076447
Refinery Feedstocks,124872869.65127128
Refinery Gas,403654.96658905386
Renting services of machinery and equipment without operator and of personal and household goods (71),491955174.5613447
Research and development services (73),28918789.97278168
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",674085034.6241904
Retail trade services of motor fuel,89744909.95832366
Rubber and plastic products (25),10633306340.64798
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",426110322.13231325
Sand and clay,469192905.16341025
Sea and coastal water transportation services,17976865752.79171
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),389984355.87064844
Sewage sludge for treatment: biogasification and land application,13575130.981207542
Steam and hot water supply services,0.0
Stone,84184293.51111713
Sub-Bituminous Coal,6779580.110578114
Sugar,142257510.10281256
"Sugar cane, sugar beet",485931.5483336263
Supporting and auxiliary transport services; travel agency services (63),2598102340.372814
Textiles (17),3793972486.4597807
Textiles waste for treatment: incineration,3053962.3627788424
Textiles waste for treatment: landfill,1533582.5388676974
Tobacco products (16),4644913.868054622
Transmission services of electricity,0.0
Transportation services via pipelines,649883704.8938452
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",333728401.83614933
Wearing apparel; furs (18),2682821427.5732756
Wheat,162126415.61106643
White Spirit & SBP,9409139.138684442
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",2160000014.717214
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),4505629808.721456
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,6243291.69998376
Wood waste for treatment: landfill,3516345.567403876
"Wool, silk-worm cocoons",2631096.7492639595
products of Vegetable oils and fats,698296517.3435053
