sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,183591254.51640457
Air transport services (62),13609455121.568031
Aluminium and aluminium products,2382754976.1134467
Aluminium ores and concentrates,18929173.052917887
Animal products nec,600445286.247663
Anthracite,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,4688852.365483444
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,17695858596.81231
Beverages,5575425815.045564
Biodiesels,1337902345.6990578
Biogas,5724274.606624621
Biogasoline,413094251.6003098
Bitumen,341160228.7638034
Blast Furnace Gas,6066002.612317984
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",1497621994.299851
Cattle,26852136097.879337
"Cement, lime and plaster",16952427845.38064
Ceramic goods,1439226783.059489
Cereal grains nec,10557006768.181234
Charcoal,0.0
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",153403140.66470876
Chemicals nec,10211365109.351097
Coal Tar,1051868514.9468247
Coke Oven Coke,5493235765.868499
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",807172250.9751518
Computer and related services (72),4270998956.2496405
Construction work (45),18898930837.666206
Copper ores and concentrates,0.0
Copper products,2146112400.2524161
Crops nec,302791174.13191694
"Crude petroleum and services related to crude oil extraction, excluding surveying",5867170823.126973
Dairy products,19312651004.064198
Distribution and trade services of electricity,9247670830.299797
Distribution services of gaseous fuels through mains,8568491036.520601
Education services (80),1621773602.4734266
Electrical machinery and apparatus n.e.c. (31),225510042.75295302
Electricity by Geothermal,1153605.8071110984
Electricity by biomass and waste,516957038.0151447
Electricity by coal,1849758005.1691918
Electricity by gas,14437499482.116213
Electricity by hydro,537991370.0549395
Electricity by nuclear,4313577460.084599
Electricity by petroleum and other oil derivatives,2883156228.629721
Electricity by solar photovoltaic,129971885.42353612
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",4818111.265078675
Electricity by wind,286133844.98516464
Electricity nec,10943732.619260611
Ethane,2139278.0340501675
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",12264300784.373154
"Financial intermediation services, except insurance and pension funding services (65)",4931400698.873447
Fish and other fishing products; services incidental of fishing (05),1731541216.9806721
Fish products,1630715022.6018932
