freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20141120,Saturated acyclic hydrocarbons,861284640,2019,KG,94938259,2019,KG,1993784447,2019,KG
A,EU27_2020,20141130,Ethylene,9817689027,2019,KG,280758738,2019,KG,1418579590,2019,KG
A,EU27_2020,20141140,Propene (propylene),9792446126,2019,KG,124453445,2019,KG,845569901,2019,KG
A,EU27_2020,20141150,Butene (butylene) and isomers thereof,1674613555,2019,KG,95308472,2019,KG,66119,2019,KG
A,EU27_2020,20141160,"Buta-1,3-diene and isoprene",2742866596,2019,KG,298433161,2019,KG,27881078,2019,KG
A,EU27_2020,20141165,Unsaturated acyclic hydrocarbons; buta-1.3-diene,: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20141167,Unsaturated acyclic hydrocarbons; Isoprene,: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20141190,"Unsaturated acyclic hydrocarbons (excluding ethylene, propene, butene, buta-1,3-diene and isoprene)",946317441,2019,KG,124002539,2019,KG,349604452,2019,KG
A,EU27_2020,20141213,Cyclohexane,608450270,2019,KG,5029620,2019,KG,463070237,2019,KG
A,EU27_2020,20141215,Cyclanes; cyclenes and cycloterpenes (excluding cyclohexane),100000000,2019,KG,36477436,2019,KG,67517838,2019,KG
A,EU27_2020,20141223,Benzene,5406482633,2019,KG,113144308,2019,KG,1030258210,2019,KG
A,EU27_2020,20141225,Toluene,1279401108,2019,KG,210931571,2019,KG,50491828,2019,KG
A,EU27_2020,20141243,o-Xylene,229557755,2019,KG,23182840,2019,KG,113572389,2019,KG
A,EU27_2020,20141245,p-Xylene,895504408,2019,KG,369289430,2019,KG,466476317,2019,KG
A,EU27_2020,20141247,m-Xylene and mixed xylene isomers,932028815,2019,KG,3284692,2019,KG,37675130,2019,KG
A,EU27_2020,20141250,Styrene,2880904684,2019,KG,592906998,2019,KG,780445063,2019,KG
A,EU27_2020,20141260,Ethylbenzene,566842570,2019,KG,1574253,2019,KG,172820488,2019,KG
A,EU27_2020,20141270,Cumene,1117467000,2019,KG,214701,2019,KG,240567437,2019,KG
A,EU27_2020,20141290,Other cyclic hydrocarbons,599253882,2019,KG,28939953,2019,KG,25394624,2019,KG
A,EU27_2020,20141313,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),210000000,2019,KG,28552713,2019,KG,5877794,2019,KG
A,EU27_2020,20141315,Dichloromethane (methylene chloride),120000000,2019,KG,81351035,2019,KG,3226171,2019,KG
A,EU27_2020,20141323,Chloroform (trichloromethane),120000000,2019,KG,6537527,2019,KG,3045872,2019,KG
A,EU27_2020,20141325,Carbon tetrachloride,26721000,2019,KG,2123016,2019,KG,546,2019,KG
A,EU27_2020,20141353,"1,2-Dichloroethane (ethylene dichloride)",1000000000,2019,KG,173165102,2019,KG,418388518,2019,KG
A,EU27_2020,20141357,"Saturated chlorinated derivatives of acyclic hydrocarbons, n.e.c.",116056666,2019,KG,24805630,2019,KG,982711,2019,KG
A,EU27_2020,20141371,Vinyl chloride (chloroethylene),822829309,2019,KG,17677019,2019,KG,91575627,2019,KG
A,EU27_2020,20141374,Trichloroethylene; tetrachloroethylene (perchloroethylene),96476439,2019,KG,72564995,2019,KG,12840110,2019,KG
A,EU27_2020,20141379,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excluding vinyl chloride, trichloroethylene, tetrachloroethylene)",160000000,2019,KG,23167244,2019,KG,3513061,2019,KG
A,EU27_2020,20141450,Derivatives of hydrocarbons containing only sulpho groups; their salts and ethyl esters,210260186,2019,KG,51283741,2019,KG,29683486,2019,KG
A,EU27_2020,20141470,Derivatives of hydrocarbons containing only nitro or only nitroso groups,45000000,2019,KG,28697153,2019,KG,25046989,2019,KG
A,EU27_2020,20141490,"Derivatives of hydrocarbons (excluding those containing only sulpho groups; their salts and ethyl esters, those containing only nitro or only nitroso groups)",38836855,2019,KG,5804871,2019,KG,14907414,2019,KG
A,EU27_2020,20141910,Fluorinated; brominated or iodinated derivatives of acyclic hydrocarbons,41522467,2019,KG,21141030,2019,KG,52667448,2019,KG
A,EU27_2020,20141930,Halogenated derivatives of acyclic hydrocarbons containing >= 2 different halogens,47840344,2019,KG,9366749,2019,KG,6937934,2019,KG
A,EU27_2020,20141950,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons",3000000,2019,KG,117468,2019,KG,447159,2019,KG
A,EU27_2020,20141970,Halogenated derivatives of aromatic hydrocarbons,178136726,2019,KG,95446044,2019,KG,33073353,2019,KG
A,EU27_2020,20142100,Industrial fatty alcohols,300000000,2019,KG,151534135,2019,KG,245081813,2019,KG
A,EU27_2020,20142210,Methanol (methyl alcohol),1200000000,2019,KG,465543413,2019,KG,6504716635,2019,KG
A,EU27_2020,20142220,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),316272147,2019,KG,93302861,2019,KG,123058079,2019,KG
A,EU27_2020,20142230,Butan-1-ol (n-butyl alcohol),236971246,2019,KG,31892022,2019,KG,164422789,2019,KG
A,EU27_2020,20142240,Butanols (excluding butan-1-ol (n-butyl alcohol)),66153375,2019,KG,25845138,2019,KG,22366103,2019,KG
A,EU27_2020,20142263,Octanol (octyl alcohol) and isomers thereof,426168674,2019,KG,160859338,2019,KG,17662408,2019,KG
A,EU27_2020,20142265,"Lauryl alcohol; cetyl alcohol; stearyl alcohol and other saturated monohydric alcohols (excluding methyl, propyl and isopropyl, n-butyl, other butanols, octyl)",360000000,2019,KG,190240622,2019,KG,61357529,2019,KG
A,EU27_2020,20142270,Unsaturated monohydric alcohols,17347849,2019,KG,7880560,2019,KG,20380731,2019,KG
A,EU27_2020,20142310,Ethylene glycol (ethanediol),1052439255,2019,KG,115708314,2019,KG,870400383,2019,KG
A,EU27_2020,20142320,"Propylene glycol (propane-1,2-diol)",669561750,2019,KG,100280812,2019,KG,49344702,2019,KG
A,EU27_2020,20142333,D-glucitol (sorbitol),404987207,2019,KG,6320533,2019,KG,2704872,2019,KG
A,EU27_2020,20142337,"Diols and polyhydric alcohols (excluding ethylene glycol and propylene glycol, D-glucitol and tetramethylene glycol having a bio-based carbon content of 100 % by mass)",650000000,2019,KG,137272514,2019,KG,131728247,2019,KG
A,EU27_2020,20142338,"Butane-1,4-diol or tetramethylene glycol (1,4-butanediol) having a bio-based carbon content of 100 % by mass",70000000,2019,KG,1144368,2019,KG,26388846,2019,KG
