sector,value (kg CO2 eq.)
Additives/Blending Components,0.0004415480060857594
Air transport services (62),18114085352.4526
Aluminium and aluminium products,18770429.497007478
Aluminium ores and concentrates,69265.90704171246
Animal products nec,249457688.18088797
Anthracite,5613.623378173974
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,0.0007086634146410211
BKB/Peat Briquettes,0.0015820359191801136
Basic iron and steel and of ferro-alloys and first products thereof,84380141.88058704
Beverages,1236712448.0284553
Biodiesels,2682387.7772107455
Biogas,0.0
Biogasoline,2466540.312404009
Bitumen,0.000821180411466682
Blast Furnace Gas,0.0
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",240548.09313306294
Cattle,0.004310197197800127
"Cement, lime and plaster",1258772.2571036664
Ceramic goods,264483440.12762722
Cereal grains nec,1592082.2169271852
Charcoal,0.004434946054475594
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",12229717.048686594
Chemicals nec,2310629402.522472
Coal Tar,0.0
Coke Oven Coke,15662228.394270761
Coke oven gas,0.0
Coking Coal,1001865.1201344253
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),1600592321.452209
Construction work (45),1106361828.312739
Copper ores and concentrates,0.06350241364825825
Copper products,516107.49430656375
Crops nec,319317963.6682805
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.00037084151007204445
Dairy products,4062447105.1204104
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),32681306.351228587
Electrical machinery and apparatus n.e.c. (31),0.0
Electricity by Geothermal,0.0
Electricity by biomass and waste,0.0
Electricity by coal,0.0
Electricity by gas,0.0
Electricity by hydro,0.0
Electricity by nuclear,0.0
Electricity by petroleum and other oil derivatives,0.0
Electricity by solar photovoltaic,0.0
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",0.0
Electricity by wind,0.0
Electricity nec,0.0
Ethane,0.0
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",3437194109.4220805
"Financial intermediation services, except insurance and pension funding services (65)",0.0
Fish and other fishing products; services incidental of fishing (05),490071859.6960918
Fish products,571698866.0567343
Food products nec,10677622802.482525
Food waste for treatment: biogasification and land application,0.0
Food waste for treatment: composting and land application,0.0
Food waste for treatment: incineration,0.0
Food waste for treatment: landfill,0.0
Food waste for treatment: waste water treatment,0.0
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),9967051645.477318
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,1655932156.7980762
Gasoline Type Jet Fuel,0.0
Glass and glass products,0.0007524606661194794
Health and social work services (85),3047621.4885599287
Heavy Fuel Oil,103799243.3358623
Hotel and restaurant services (55),1969562465.7006195
Inert/metal/hazardous waste for treatment: landfill,0.0
Inland water transportation services,147233821.9419297
"Insurance and pension funding services, except compulsory social security services (66)",119126997.13563508
Intert/metal waste for treatment: incineration,0.0
Iron ores,0.390240092107477
Kerosene,64052060.0917138
Kerosene Type Jet Fuel,0.0009484466619961121
"Lead, zinc and tin and products thereof",115052.35521703263
"Lead, zinc and tin ores and concentrates",939074.4352156353
Leather and leather products (19),3896101546.2984943
Lignite/Brown Coal,0.0016043365465605386
Liquefied Petroleum Gases (LPG),388474673.21038723
Lubricants,0.0008588588545394476
Machinery and equipment n.e.c. (29),4328633793.696557
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,377863320.4354437
Meat products nec,589013387.6163218
"Medical, precision and optical instruments, watches and clocks (33)",599112768.3000096
Membership organisation services n.e.c. (91),100989.71889767374
Motor Gasoline,3189146677.3950515
"Motor vehicles, trailers and semi-trailers (34)",17010148903.964924
N-fertiliser,119655.76543526561
Naphtha,5836938.070138225
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",49820752.37848304
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,208020.41647717264
Nuclear fuel,5435456.102865924
Office machinery and computers (30),305021089.94917315
Oil seeds,59137265.78179129
Oil/hazardous waste for treatment: incineration,0.0
Other Bituminous Coal,105173.79418728064
Other Hydrocarbons,70324.89565505541
Other Liquid Biofuels,0.0
Other business services (74),1444295279.4829142
Other land transportation services,630540035.372899
Other non-ferrous metal ores and concentrates,90.3664066034842
Other non-ferrous metal products,4591015.463568021
Other non-metallic mineral products,491907242.5853484
Other services (93),71492203.93044193
Other transport equipment (35),3816903835.0556593
Other waste for treatment: waste water treatment,0.0
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,5.484814827109993e-10
Paddy rice,0.0
Paper and paper products,205652785.53993925
Paper and wood waste for treatment: composting and land application,0.0
Paper for treatment: landfill,0.0
Paper waste for treatment: biogasification and land application,0.0
Paper waste for treatment: incineration,0.0
Paraffin Waxes,2326937.6116799316
Patent Fuel,9842.397570929337
Peat,0.0001531361668422387
Petroleum Coke,4910708.338742545
Pigs,0.0013423027844164516
Plant-based fibers,44472048.311396115
Plastic waste for treatment: incineration,0.0
Plastic waste for treatment: landfill,0.0
"Plastics, basic",92174561.52532458
Post and telecommunication services (64),339343791.38125324
Poultry,7086341.327247096
Precious metal ores and concentrates,1031.5451251115226
Precious metals,1387663.3921613265
Printed matter and recorded media (22),329622877.34055156
Private households with employed persons (95),0.28095038458632193
Processed rice,87680179.09553266
"Products of forestry, logging and related services (02)",86028436.80677587
Products of meat cattle,1832547950.2392437
Products of meat pigs,300669329.82463676
Products of meat poultry,651508600.4021374
Public administration and defence services; compulsory social security services (75),30673179.116432972
Pulp,1110307.377240283
"Radio, television and communication equipment and apparatus (32)",0.00021129440629726317
Railway transportation services,255000444.13988978
Raw milk,0.0
Real estate services (70),24726264.732432276
"Recreational, cultural and sporting services (92)",512766314.9321238
Refinery Feedstocks,0.0
Refinery Gas,0.0
