sector,value (kg CO2 eq.)
Additives/Blending Components,137182723.63451892
Air transport services (62),12341005154.244085
Aluminium and aluminium products,2231743498.7002697
Aluminium ores and concentrates,17299666.614084516
Animal products nec,596914900.7283362
Anthracite,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,2210175.127915515
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,16919670977.580173
Beverages,5190086130.87456
Biodiesels,999705860.2707046
Biogas,5345464.554640861
Biogasoline,308671912.70363504
Bitumen,160812025.41985765
Blast Furnace Gas,5664526.531506474
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",1455089477.6554174
Cattle,26694577697.297703
"Cement, lime and plaster",8830391125.512941
Ceramic goods,1362605789.179395
Cereal grains nec,10000417155.822271
Charcoal,0.0
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",142944522.55551466
Chemicals nec,7630663875.255868
Coal Tar,1004383109.9991622
Coke Oven Coke,5386423732.0255375
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",711431760.0959294
Computer and related services (72),3847330392.4444504
Construction work (45),15106492283.164051
Copper ores and concentrates,0.0
Copper products,1840683037.103749
Crops nec,284280488.956027
"Crude petroleum and services related to crude oil extraction, excluding surveying",365854370.17539245
Dairy products,18897711048.576088
Distribution and trade services of electricity,8468650495.110712
Distribution services of gaseous fuels through mains,8001568952.052725
Education services (80),1502478901.6612322
Electrical machinery and apparatus n.e.c. (31),202645658.63552943
Electricity by Geothermal,885147.1042229655
Electricity by biomass and waste,511717074.5575256
Electricity by coal,1524956707.2094162
Electricity by gas,13153781063.744495
Electricity by hydro,496330044.88711125
Electricity by nuclear,4007619081.099152
Electricity by petroleum and other oil derivatives,2755141530.9319973
Electricity by solar photovoltaic,120213468.01614502
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",4477147.83798538
Electricity by wind,264055242.01779467
Electricity nec,9944682.386810297
Ethane,1008387.3407057818
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",11104372890.271395
"Financial intermediation services, except insurance and pension funding services (65)",4396066254.505851
Fish and other fishing products; services incidental of fishing (05),1644462382.1574788
Fish products,1540578332.8853128
Food products nec,8504744454.606212
Food waste for treatment: biogasification and land application,53785277.02383125
Food waste for treatment: composting and land application,544901253.3397065
Food waste for treatment: incineration,521989495.58520865
Food waste for treatment: landfill,1123515852.1538696
Food waste for treatment: waste water treatment,873571968.7041359
Foundry work services,2137839966.0387022
Furniture; other manufactured goods n.e.c. (36),1479380959.1251693
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,4768996869.52198
Gasoline Type Jet Fuel,0.0
Glass and glass products,1813534521.4181635
Health and social work services (85),404914581.4656348
Heavy Fuel Oil,772406545.2824917
Hotel and restaurant services (55),10097414498.002295
Inert/metal/hazardous waste for treatment: landfill,994506947.6289136
Inland water transportation services,418264403.53599364
"Insurance and pension funding services, except compulsory social security services (66)",1250577110.7030547
Intert/metal waste for treatment: incineration,850508437.7282968
Iron ores,0.0
Kerosene,0.0
Kerosene Type Jet Fuel,2233900459.418868
"Lead, zinc and tin and products thereof",464857950.01420677
"Lead, zinc and tin ores and concentrates",0.0
Leather and leather products (19),1916218033.610403
Lignite/Brown Coal,183880.5944710931
Liquefied Petroleum Gases (LPG),651634137.3309137
Lubricants,120298083.18694705
Machinery and equipment n.e.c. (29),4625048192.252679
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,1584243486.9131236
Meat products nec,2041049474.0157773
