sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,80188158.9859098
Air transport services (62),62242202918.691315
Aluminium and aluminium products,865210495.8965969
Aluminium ores and concentrates,6432793.653247175
Animal products nec,395625146.1580241
Anthracite,108028619.36185445
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,24389.428084249794
BKB/Peat Briquettes,13291607.573279405
Basic iron and steel and of ferro-alloys and first products thereof,5965857472.832803
Beverages,3253869248.063313
Biodiesels,146303632.2542165
Biogas,400.45737094413136
Biogasoline,767261586.9292333
Bitumen,234241921.43519023
Blast Furnace Gas,120958.4702034228
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",3664834.6972742565
Cattle,18540599.42971182
"Cement, lime and plaster",204920961.80764845
Ceramic goods,2217331446.3800817
Cereal grains nec,613094350.2437884
Charcoal,703016336.706537
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",67111074.41120847
Chemicals nec,38138546420.38042
Coal Tar,96840504.66309193
Coke Oven Coke,335835183.3025224
Coke oven gas,89761.5757598831
Coking Coal,172525102.37813467
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),1543341549.8088512
Construction work (45),10351269384.436415
Copper ores and concentrates,2635.156833551876
Copper products,309840707.86359197
Crops nec,2819574477.2285223
"Crude petroleum and services related to crude oil extraction, excluding surveying",803778735.3486452
Dairy products,5618775041.524521
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),452821680.8184959
Electrical machinery and apparatus n.e.c. (31),11127514664.975588
Electricity by Geothermal,5265721.343667227
Electricity by biomass and waste,23283424.45582976
Electricity by coal,6316321909.144059
Electricity by gas,3001254424.0328345
Electricity by hydro,80280668.26390171
Electricity by nuclear,105369373.01316622
Electricity by petroleum and other oil derivatives,27324273.61376124
Electricity by solar photovoltaic,15669838.272966573
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",8500.818643922832
Electricity by wind,30119285.078310315
Electricity nec,62048.44975055571
Ethane,28988074.451488465
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",21911486553.740738
"Financial intermediation services, except insurance and pension funding services (65)",84777489.93006526
Fish and other fishing products; services incidental of fishing (05),878011091.74287
Fish products,4361055958.510088
Food products nec,25530917006.16202
Food waste for treatment: biogasification and land application,28501.527787365223
Food waste for treatment: composting and land application,2108683.6742732953
Food waste for treatment: incineration,1054581.7376285007
Food waste for treatment: landfill,2434657.21106802
Food waste for treatment: waste water treatment,19128683.585590318
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),47742475981.490875
Gas Coke,0.0
Gas Works Gas,3736.892435629015
Gas/Diesel Oil,7181228222.118343
Gasoline Type Jet Fuel,0.0
Glass and glass products,494735227.27004004
Health and social work services (85),591712688.761291
Heavy Fuel Oil,3718811995.6138325
Hotel and restaurant services (55),6988084585.290195
Inert/metal/hazardous waste for treatment: landfill,748694.2561061472
Inland water transportation services,140479605.44370782
"Insurance and pension funding services, except compulsory social security services (66)",858141097.7021372
Intert/metal waste for treatment: incineration,545439.259457741
Iron ores,2176630.489638396
Kerosene,135390019.31087977
Kerosene Type Jet Fuel,8498143513.084576
"Lead, zinc and tin and products thereof",616634640.7293386
"Lead, zinc and tin ores and concentrates",15051643.637472905
Leather and leather products (19),24453583776.355076
Lignite/Brown Coal,610371.6380321691
Liquefied Petroleum Gases (LPG),3244170037.892478
Lubricants,429437.2352307837
Machinery and equipment n.e.c. (29),1236757424.4983127
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,4281983547.686058
Meat products nec,3841529741.2794833
