sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,0.05933195494344612
Air transport services (62),20975693660.748566
Aluminium and aluminium products,18290370.07579078
Aluminium ores and concentrates,300801.51981557044
Animal products nec,60817812.35839055
Anthracite,158.3474593349507
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,0.0009424180576125642
BKB/Peat Briquettes,0.0013709437366827189
Basic iron and steel and of ferro-alloys and first products thereof,70363733.80891356
Beverages,1288361498.604175
Biodiesels,0.0
Biogas,0.0
Biogasoline,8065935.733172529
Bitumen,0.0011099759575093106
Blast Furnace Gas,0.0
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",79027.23529025102
Cattle,102923540.06489006
"Cement, lime and plaster",3729344.4208797575
Ceramic goods,439546928.13145626
Cereal grains nec,22495840.92623366
Charcoal,63011527.49999303
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",4985493.170800898
Chemicals nec,6899700806.856551
Coal Tar,0.0
Coke Oven Coke,67299521.26255539
Coke oven gas,0.0
Coking Coal,19660500.368586756
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),1388609691.7803059
Construction work (45),74759583.43148997
Copper ores and concentrates,0.0006794838366726487
Copper products,591708.3443828266
Crops nec,273391813.0364102
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0008608189854047116
Dairy products,3638820113.7497563
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),35731125.39918974
Electrical machinery and apparatus n.e.c. (31),0.0
Electricity by Geothermal,0.0
Electricity by biomass and waste,0.0
Electricity by coal,0.0
Electricity by gas,0.0
Electricity by hydro,0.0
Electricity by nuclear,0.0
Electricity by petroleum and other oil derivatives,0.0
Electricity by solar photovoltaic,0.0
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",0.0
Electricity by wind,0.0
Electricity nec,0.0
Ethane,0.0
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",4106733119.04907
"Financial intermediation services, except insurance and pension funding services (65)",0.0
Fish and other fishing products; services incidental of fishing (05),148714272.65474528
Fish products,1298368159.2880704
Food products nec,11632525975.69875
Food waste for treatment: biogasification and land application,0.0
Food waste for treatment: composting and land application,0.0
Food waste for treatment: incineration,0.0
Food waste for treatment: landfill,0.0
Food waste for treatment: waste water treatment,0.0
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),7276464537.367295
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,3726543939.0923433
Gasoline Type Jet Fuel,0.0
Glass and glass products,0.0007150124000349802
Health and social work services (85),8363966.393526469
Heavy Fuel Oil,473933414.32082933
Hotel and restaurant services (55),1380697856.8026955
Inert/metal/hazardous waste for treatment: landfill,0.0
Inland water transportation services,18258968.469773613
"Insurance and pension funding services, except compulsory social security services (66)",154551402.72684538
Intert/metal waste for treatment: incineration,0.0
Iron ores,0.40972825145250225
Kerosene,105979387.18034707
Kerosene Type Jet Fuel,0.0012802591434346636
"Lead, zinc and tin and products thereof",264577.9905133625
