sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,176970464.0807971
Air transport services (62),87382105306.73756
Aluminium and aluminium products,3305469401.7575884
Aluminium ores and concentrates,1384348.7518199603
Animal products nec,3072485782.0001183
Anthracite,12678936.499840736
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,72881.58839079832
BKB/Peat Briquettes,577174548.8467445
Basic iron and steel and of ferro-alloys and first products thereof,6580886426.631855
Beverages,30879893116.447895
Biodiesels,4165046487.9016676
Biogas,14839407.22831222
Biogasoline,2694290856.6611094
Bitumen,89586927.81148829
Blast Furnace Gas,43037349.595282055
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",1222823764.0423677
Cattle,21328080807.863388
"Cement, lime and plaster",7640052607.914587
Ceramic goods,5791665257.316544
Cereal grains nec,6115420117.157202
Charcoal,70793897.22091721
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",400677575.8088554
Chemicals nec,35832447357.16536
Coal Tar,156946875.6449167
Coke Oven Coke,1269004970.0881994
Coke oven gas,80052452.90012811
Coking Coal,728574057.4300181
"Collected and purified water, distribution services of water (41)",7690621492.466493
Computer and related services (72),26429855763.723576
Construction work (45),419482650526.8228
Copper ores and concentrates,15441740.31757565
Copper products,1909385809.433506
Crops nec,1711494056.7179687
"Crude petroleum and services related to crude oil extraction, excluding surveying",3681709611.1333156
Dairy products,93450319288.43297
Distribution and trade services of electricity,33561376410.921688
Distribution services of gaseous fuels through mains,36906147236.118614
Education services (80),40389432521.78659
Electrical machinery and apparatus n.e.c. (31),942626170.178618
Electricity by Geothermal,11455035.659437459
Electricity by biomass and waste,1813764418.652015
Electricity by coal,111224752588.56972
Electricity by gas,57171870837.53553
Electricity by hydro,812914680.4233191
Electricity by nuclear,4564077249.065695
Electricity by petroleum and other oil derivatives,6430548410.339133
Electricity by solar photovoltaic,248931002.21682054
Electricity by solar thermal,4245956.627918204
"Electricity by tide, wave, ocean",2867376.9465601714
Electricity by wind,1070459390.2821681
Electricity nec,28975393.11847721
Ethane,150073.07853287572
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",37170123030.57941
"Financial intermediation services, except insurance and pension funding services (65)",11878203594.201801
Fish and other fishing products; services incidental of fishing (05),4904465788.482464
Fish products,9399807867.71772
Food products nec,171574587939.16086
Food waste for treatment: biogasification and land application,323802023.81314963
Food waste for treatment: composting and land application,2403132490.908517
Food waste for treatment: incineration,1092883836.689142
Food waste for treatment: landfill,3172765476.547095
Food waste for treatment: waste water treatment,3676927996.2146187
Foundry work services,2079340089.8815298
Furniture; other manufactured goods n.e.c. (36),39706471260.12424
Gas Coke,0.0
Gas Works Gas,950022.7245769539
Gas/Diesel Oil,46037792410.889145
Gasoline Type Jet Fuel,0.0
Glass and glass products,1638464183.3365455
Health and social work services (85),148396912241.63004
Heavy Fuel Oil,2555814532.780996
Hotel and restaurant services (55),109330189157.82344
Inert/metal/hazardous waste for treatment: landfill,2176297848.2894793
Inland water transportation services,3650420133.5400176
"Insurance and pension funding services, except compulsory social security services (66)",14450731457.635006
Intert/metal waste for treatment: incineration,1811524412.7006357
Iron ores,21357376.277288225
Kerosene,101143681.67581043
Kerosene Type Jet Fuel,9421442945.53417
"Lead, zinc and tin and products thereof",1687463976.844825
"Lead, zinc and tin ores and concentrates",173073594.44374576
Leather and leather products (19),15911120160.770334
Lignite/Brown Coal,247864204.34314436
Liquefied Petroleum Gases (LPG),2701912894.210113
Lubricants,11875249.465261705
Machinery and equipment n.e.c. (29),99542478292.49594
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,7016501937.919113
Meat products nec,3892439916.706047
"Medical, precision and optical instruments, watches and clocks (33)",2164311106.6832747
Membership organisation services n.e.c. (91),10066784452.693588
Motor Gasoline,88657042638.72655
"Motor vehicles, trailers and semi-trailers (34)",136581524244.1218
N-fertiliser,3690100903.864015
Naphtha,311102709.7376193
Natural Gas Liquids,10446289.630371992
"Natural gas and services related to natural gas extraction, excluding surveying",8310942162.103511
Nickel ores and concentrates,748806354.8968817
Non-specified Petroleum Products,47150177.122630335
Nuclear fuel,4178486901.7166057
Office machinery and computers (30),56317722159.263565
Oil seeds,5418786546.008709
Oil/hazardous waste for treatment: incineration,1395325299.5632217
Other Bituminous Coal,3943568775.564184
Other Hydrocarbons,1036701.5243051838
Other Liquid Biofuels,3421240.847879345
Other business services (74),35626182804.88138
Other land transportation services,60776790879.23418
Other non-ferrous metal ores and concentrates,15247184.113698475
Other non-ferrous metal products,469896377.8400267
Other non-metallic mineral products,7182137735.285686
Other services (93),17563815854.039013
Other transport equipment (35),39763201339.960396
Other waste for treatment: waste water treatment,5545715262.817229
Oxygen Steel Furnace Gas,196938.4215771276
P- and other fertiliser,6047443843.132782
Paddy rice,1331530506.2720444
Paper and paper products,12633708716.664473
Paper and wood waste for treatment: composting and land application,7476146.857676501
Paper for treatment: landfill,1051511635.7468554
Paper waste for treatment: biogasification and land application,66543053.95650001
Paper waste for treatment: incineration,1294016481.5356188
Paraffin Waxes,14139508.088958878
Patent Fuel,1055099.2592049225
Peat,10957728.043311369
Petroleum Coke,24628182.914162107
Pigs,4742812181.771678
Plant-based fibers,172683490.79968816
Plastic waste for treatment: incineration,984071860.7717911
Plastic waste for treatment: landfill,210461421.87602064
"Plastics, basic",45409985340.37101
Post and telecommunication services (64),22661216932.841362
Poultry,15054074162.508705
Precious metal ores and concentrates,837942655.4976255
Precious metals,762501931.3331907
Printed matter and recorded media (22),10568477356.668236
Private households with employed persons (95),2008412753.3929107
Processed rice,796129326.233738
"Products of forestry, logging and related services (02)",3870276070.3284974
Products of meat cattle,41935799535.0923
Products of meat pigs,24062366458.79236
Products of meat poultry,11564170248.364323
Public administration and defence services; compulsory social security services (75),95068052478.68199
Pulp,2685016036.094178
"Radio, television and communication equipment and apparatus (32)",1887730792.5198483
Railway transportation services,28102700884.016632
Raw milk,29427863313.02293
Real estate services (70),90034866952.59181
"Recreational, cultural and sporting services (92)",41287143554.01353
Refinery Feedstocks,232147557.2477796
Refinery Gas,76930.9918938177
Renting services of machinery and equipment without operator and of personal and household goods (71),10185340192.596472
Research and development services (73),66573071823.44305
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",114415448101.25404
Retail trade services of motor fuel,1908152967.814897
Rubber and plastic products (25),26228589067.005253
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",35839850188.27542
Sand and clay,295370559.93263346
Sea and coastal water transportation services,109663896959.04375
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,304747872.936088
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),3092372274.5872
Sewage sludge for treatment: biogasification and land application,1183233939.9094157
Steam and hot water supply services,17787857801.87969
Stone,624777610.7260746
Sub-Bituminous Coal,784.0610709064407
Sugar,4241506186.6408687
"Sugar cane, sugar beet",1715827682.2927744
Supporting and auxiliary transport services; travel agency services (63),57935282898.684685
Textiles (17),14891750265.231352
Textiles waste for treatment: incineration,311581095.53844696
Textiles waste for treatment: landfill,269564386.28606874
Tobacco products (16),5511056552.109541
Transmission services of electricity,6503948086.986587
Transportation services via pipelines,1136224085.2246332
Uranium and thorium ores (12),2170917.249889456
"Vegetables, fruit, nuts",35660797174.72354
Wearing apparel; furs (18),18694484114.164356
Wheat,13191191532.01513
White Spirit & SBP,165006457.20392036
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",115918862393.31093
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),19773734504.68663
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,551452959.1445982
Wood waste for treatment: landfill,345483309.35506463
"Wool, silk-worm cocoons",25081657.63089522
products of Vegetable oils and fats,2648045383.805539
