sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,160479782.03233555
Air transport services (62),11300553755.20995
Aluminium and aluminium products,2026106995.0092993
Aluminium ores and concentrates,5336596.908742725
Animal products nec,176710636.83616802
Anthracite,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,1675422.4564488193
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,16027616799.206875
Beverages,5770137730.537761
Biodiesels,888452383.3138348
Biogas,20219701.940951608
Biogasoline,208219199.4672563
Bitumen,234994346.79501814
Blast Furnace Gas,52440268.21853736
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",1146535889.6408486
Cattle,29958210899.539738
"Cement, lime and plaster",18500441748.49236
Ceramic goods,1059204151.6175803
Cereal grains nec,8295022326.921844
Charcoal,535398.4382865484
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",164678688.5808525
Chemicals nec,7090741682.922179
Coal Tar,285351905.31416756
Coke Oven Coke,3355181921.9173203
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",865846787.2682441
Computer and related services (72),3032553925.4484324
Construction work (45),17862100583.11078
Copper ores and concentrates,0.0
Copper products,1652302218.070087
Crops nec,198050458.02895463
"Crude petroleum and services related to crude oil extraction, excluding surveying",3017081105.380735
Dairy products,18606571459.256233
Distribution and trade services of electricity,5430020873.510659
Distribution services of gaseous fuels through mains,11193115323.74467
Education services (80),1315647155.8144255
Electrical machinery and apparatus n.e.c. (31),792204247.7561207
Electricity by Geothermal,1672305.1018164316
Electricity by biomass and waste,53873899.45649726
Electricity by coal,2225543212.278264
Electricity by gas,7052998515.700446
Electricity by hydro,624554956.073057
Electricity by nuclear,3589372920.8442655
Electricity by petroleum and other oil derivatives,2771000422.6458197
Electricity by solar photovoltaic,130035630.00794843
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",5477848.875323607
Electricity by wind,389253765.40468395
Electricity nec,9084949.142308386
Ethane,1561634.3654425861
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",12333644849.059015
"Financial intermediation services, except insurance and pension funding services (65)",5952798847.045286
Fish and other fishing products; services incidental of fishing (05),1265847997.2270977
Fish products,1978623582.6141515
Food products nec,9859172158.476889
Food waste for treatment: biogasification and land application,66521328.87063145
Food waste for treatment: composting and land application,620868655.3158531
Food waste for treatment: incineration,655806773.2790962
Food waste for treatment: landfill,1482237284.2248394
Food waste for treatment: waste water treatment,1251282812.4632287
Foundry work services,3613520361.120851
Furniture; other manufactured goods n.e.c. (36),1325148877.4108906
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,8764492929.495455
Gasoline Type Jet Fuel,0.0
Glass and glass products,1472768146.7684262
Health and social work services (85),519175154.4505119
Heavy Fuel Oil,1259445739.6481423
Hotel and restaurant services (55),11691676257.930744
Inert/metal/hazardous waste for treatment: landfill,1338136311.0714967
Inland water transportation services,469412229.5439246
"Insurance and pension funding services, except compulsory social security services (66)",1539311517.660135
Intert/metal waste for treatment: incineration,827035292.8194442
Iron ores,0.0
Kerosene,0.0
Kerosene Type Jet Fuel,4745477845.31329
"Lead, zinc and tin and products thereof",1173073710.640903
"Lead, zinc and tin ores and concentrates",0.0
Leather and leather products (19),1822804966.0636697
Lignite/Brown Coal,118197.19275731394
Liquefied Petroleum Gases (LPG),819369210.5302095
Lubricants,140650187.9471037
Machinery and equipment n.e.c. (29),4218321035.2630606
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,1240556947.7384076
Meat products nec,654444258.8134643
"Medical, precision and optical instruments, watches and clocks (33)",0.0
Membership organisation services n.e.c. (91),309376164.7279709
Motor Gasoline,2570389152.457646
"Motor vehicles, trailers and semi-trailers (34)",6207056533.194682
N-fertiliser,46200623.350248925
Naphtha,1229597304.5012434
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",235876814.0904806
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,89142802.46334551
Nuclear fuel,186740161.58925113
Office machinery and computers (30),16337355348.691204
Oil seeds,5159353907.17493
Oil/hazardous waste for treatment: incineration,735793125.9745705
Other Bituminous Coal,0.0
Other Hydrocarbons,0.0
Other Liquid Biofuels,41404669.922701366
Other business services (74),39947538064.84829
Other land transportation services,9663040452.304438
Other non-ferrous metal ores and concentrates,1051685.193638408
Other non-ferrous metal products,210957468.21589252
Other non-metallic mineral products,1637621465.7966013
Other services (93),219220773.20930052
Other transport equipment (35),6190845807.909982
Other waste for treatment: waste water treatment,2204060434.389179
Oxygen Steel Furnace Gas,0.0
