sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,53044297.88269797
Air transport services (62),5130429342.513746
Aluminium and aluminium products,4456871543.534754
Aluminium ores and concentrates,15951755.980505472
Animal products nec,10491474.367292391
Anthracite,68956809.27339554
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,1038475.7293542911
BKB/Peat Briquettes,37450455.52539426
Basic iron and steel and of ferro-alloys and first products thereof,13665794389.687773
Beverages,1081821537.6429775
Biodiesels,138263456.5033353
Biogas,0.0
Biogasoline,12626088.72115219
Bitumen,305320656.81037474
Blast Furnace Gas,9890.632512168835
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",88384187.59841363
Cattle,251699755.15829843
"Cement, lime and plaster",7158643691.03094
Ceramic goods,1533796726.4876592
Cereal grains nec,676604719.3212962
Charcoal,0.0
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",106586066.71215786
Chemicals nec,9593013267.060183
Coal Tar,9761.784157100028
Coke Oven Coke,2661203547.655446
Coke oven gas,104187.55735635934
Coking Coal,87317106.88791527
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),918622501.3488872
Construction work (45),912538572.0808035
Copper ores and concentrates,4107.509566739444
Copper products,2786390379.881113
Crops nec,861684709.4962412
"Crude petroleum and services related to crude oil extraction, excluding surveying",17702148317.882015
Dairy products,3648667840.964728
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),103537121.7395807
Electrical machinery and apparatus n.e.c. (31),5143815376.392466
Electricity by Geothermal,1112884.880815656
Electricity by biomass and waste,367684133.25122195
Electricity by coal,3586517732.23655
Electricity by gas,7989440468.231605
Electricity by hydro,90037239.22913496
Electricity by nuclear,250147870.45297033
Electricity by petroleum and other oil derivatives,519275476.02598125
Electricity by solar photovoltaic,45842141.81687851
Electricity by solar thermal,18424271.27162647
"Electricity by tide, wave, ocean",43715.71085840791
Electricity by wind,127898364.56646536
Electricity nec,2110646.589052934
Ethane,331905.99330934806
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",12638648337.632776
"Financial intermediation services, except insurance and pension funding services (65)",984517841.9620221
Fish and other fishing products; services incidental of fishing (05),438288430.3567204
Fish products,1494143878.9663231
Food products nec,5081568985.616575
Food waste for treatment: biogasification and land application,1778106.9186063048
Food waste for treatment: composting and land application,14356459.469770884
Food waste for treatment: incineration,10719023.725556472
Food waste for treatment: landfill,18679786.027981874
Food waste for treatment: waste water treatment,10259629.591627924
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),3817868222.215603
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,5372167382.273593
Gasoline Type Jet Fuel,0.0
Glass and glass products,3234134202.8207827
Health and social work services (85),31740595.992409065
Heavy Fuel Oil,831882795.8220642
Hotel and restaurant services (55),1525036085.8658874
Inert/metal/hazardous waste for treatment: landfill,11083425.801557092
Inland water transportation services,6297865.936054882
"Insurance and pension funding services, except compulsory social security services (66)",270458232.87257576
Intert/metal waste for treatment: incineration,18556078.946788542
Iron ores,16960.299670974495
Kerosene,190421692.51875252
Kerosene Type Jet Fuel,4152633894.189085
"Lead, zinc and tin and products thereof",450284940.3668415
"Lead, zinc and tin ores and concentrates",8296587.258055631
Leather and leather products (19),685789252.3375143
Lignite/Brown Coal,3758765.481298105
Liquefied Petroleum Gases (LPG),768855209.8089347
