sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,84946357.19585852
Air transport services (62),31406648937.248867
Aluminium and aluminium products,22890590356.702656
Aluminium ores and concentrates,13715861.532633236
Animal products nec,296195565.03396547
Anthracite,875431507.3969698
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,4871766.107195442
BKB/Peat Briquettes,25882676.952535894
Basic iron and steel and of ferro-alloys and first products thereof,101544790241.02666
Beverages,3115704217.0688066
Biodiesels,2574486577.279077
Biogas,10545.764077751042
Biogasoline,625985415.3238091
Bitumen,480089337.6749712
Blast Furnace Gas,95463.28454353835
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",287572220.74352264
Cattle,65241846.43414363
"Cement, lime and plaster",16859856227.969994
Ceramic goods,5975384490.232983
Cereal grains nec,3210808738.766596
Charcoal,238054854.09400716
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",623583159.12095
Chemicals nec,80370203299.13614
Coal Tar,266981017.51189625
Coke Oven Coke,1532368903.8963635
Coke oven gas,468618.20938714576
Coking Coal,958420991.9228501
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),6766390818.584897
Construction work (45),12828130619.134598
Copper ores and concentrates,102013614.852375
Copper products,9836023436.106277
Crops nec,6924891005.917574
"Crude petroleum and services related to crude oil extraction, excluding surveying",166263393986.78412
Dairy products,2644481492.0526123
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),791512686.3080662
Electrical machinery and apparatus n.e.c. (31),49164309216.21599
Electricity by Geothermal,15960403.602476943
Electricity by biomass and waste,377698713.72382194
Electricity by coal,17955501105.48322
Electricity by gas,18312242491.72259
Electricity by hydro,417212427.4961239
Electricity by nuclear,557539790.7310368
Electricity by petroleum and other oil derivatives,561478682.9480755
Electricity by solar photovoltaic,109508362.30885187
Electricity by solar thermal,133175.6695716227
"Electricity by tide, wave, ocean",22107.671885149524
Electricity by wind,57222454.168685466
Electricity nec,402611.5563455914
Ethane,190543139.15583262
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",50647060827.516754
"Financial intermediation services, except insurance and pension funding services (65)",6650255210.849168
Fish and other fishing products; services incidental of fishing (05),1263609133.0552282
Fish products,7656029561.562588
Food products nec,9465365732.638227
Food waste for treatment: biogasification and land application,8029.267683415587
Food waste for treatment: composting and land application,10229165.754890004
Food waste for treatment: incineration,11600263.932136824
Food waste for treatment: landfill,4952560.01080851
Food waste for treatment: waste water treatment,2580540.776861377
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),16301536485.135773
Gas Coke,0.0
Gas Works Gas,84942.91021086721
Gas/Diesel Oil,21254042164.443993
Gasoline Type Jet Fuel,0.0
Glass and glass products,13262482235.445908
Health and social work services (85),504487439.57417506
Heavy Fuel Oil,7862319445.008268
Hotel and restaurant services (55),20493847942.728786
Inert/metal/hazardous waste for treatment: landfill,5295767.132921805
Inland water transportation services,574827226.9730384
"Insurance and pension funding services, except compulsory social security services (66)",2393281158.4389668
Intert/metal waste for treatment: incineration,19043123.92186385
Iron ores,13052.356019302038
Kerosene,366913102.3050789
Kerosene Type Jet Fuel,12917137924.23825
"Lead, zinc and tin and products thereof",3262548830.272291
"Lead, zinc and tin ores and concentrates",27593636.31576125
Leather and leather products (19),5664865263.953617
Lignite/Brown Coal,2925038.0712013124
Liquefied Petroleum Gases (LPG),4798891900.268972
Lubricants,26112069.571625233
Machinery and equipment n.e.c. (29),78017939.66044234
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,485523276.984327
Meat products nec,356623428.9279409
"Medical, precision and optical instruments, watches and clocks (33)",6941775023.948994
Membership organisation services n.e.c. (91),411358088.17468506
Motor Gasoline,4063591551.9320974
"Motor vehicles, trailers and semi-trailers (34)",11918229968.7609
N-fertiliser,529129332.940372
Naphtha,2448682767.6668234
Natural Gas Liquids,4121411301.634643
"Natural gas and services related to natural gas extraction, excluding surveying",31893205888.945484
Nickel ores and concentrates,2497501.2282619597
Non-specified Petroleum Products,573613378.8112022
Nuclear fuel,6423720.074707173
Office machinery and computers (30),15179317685.605753
Oil seeds,8119174959.362169
Oil/hazardous waste for treatment: incineration,4036783.2712166295
Other Bituminous Coal,21357085195.867428
Other Hydrocarbons,18321.837035771045
Other Liquid Biofuels,16668.77414242675
Other business services (74),28010318650.063454
Other land transportation services,18684344991.891663
Other non-ferrous metal ores and concentrates,5881644.474856335
Other non-ferrous metal products,6110715158.670381
Other non-metallic mineral products,8396606043.514854
Other services (93),1264054723.6024265
Other transport equipment (35),9655607970.531523
Other waste for treatment: waste water treatment,5072018.500662683
Oxygen Steel Furnace Gas,2060.5024101826234
P- and other fertiliser,19302131143.614986
Paddy rice,469455719.826281
Paper and paper products,5513920415.658136
Paper and wood waste for treatment: composting and land application,0.0
Paper for treatment: landfill,2737910.0441097524
Paper waste for treatment: biogasification and land application,989.4208336602672
Paper waste for treatment: incineration,13881911.917475425
Paraffin Waxes,207085138.4041497
Patent Fuel,5637511.870884951
Peat,10182650.921971455
Petroleum Coke,221885835.88422292
Pigs,5012869.542048498
Plant-based fibers,378905560.8281596
Plastic waste for treatment: incineration,4118447.149048062
Plastic waste for treatment: landfill,1051091.6777172906
"Plastics, basic",7508248813.054943
Post and telecommunication services (64),4356102025.075357
Poultry,74965789.63323015
Precious metal ores and concentrates,557742297.6304249
Precious metals,930369446.9075431
Printed matter and recorded media (22),1573784993.6556242
Private households with employed persons (95),2161620672.5789557
Processed rice,1061091584.6664762
"Products of forestry, logging and related services (02)",1006373836.0525618
Products of meat cattle,4664604241.586384
Products of meat pigs,51185258.38229382
Products of meat poultry,144168240.72091505
Public administration and defence services; compulsory social security services (75),828459981.57657
Pulp,2294529134.7743936
"Radio, television and communication equipment and apparatus (32)",3423433713.3982143
Railway transportation services,5719718035.734463
Raw milk,0.0
Real estate services (70),3625790143.89894
"Recreational, cultural and sporting services (92)",1430477765.7230084
Refinery Feedstocks,52771527.46680683
Refinery Gas,3371628.3177130218
Renting services of machinery and equipment without operator and of personal and household goods (71),88126203.92737013
Research and development services (73),12680296623.203442
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",4710819267.414897
Retail trade services of motor fuel,523797299.1274274
Rubber and plastic products (25),56265828602.540695
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",2090972010.2977142
Sand and clay,269314583.7055243
Sea and coastal water transportation services,111358110366.42844
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),1460566072.2041254
Sewage sludge for treatment: biogasification and land application,2066942.3724629015
Steam and hot water supply services,0.0
Stone,43258481.534819126
Sub-Bituminous Coal,168314543.30358914
Sugar,486408632.7525081
"Sugar cane, sugar beet",2155473.438793068
Supporting and auxiliary transport services; travel agency services (63),9546222330.956875
Textiles (17),12800459825.30323
Textiles waste for treatment: incineration,1296659.5163715265
Textiles waste for treatment: landfill,353288.94015819044
Tobacco products (16),96155124.52192323
Transmission services of electricity,0.0
Transportation services via pipelines,15224031995.837683
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",4969237639.631794
Wearing apparel; furs (18),4328445665.687099
Wheat,1047659912.9161766
White Spirit & SBP,74164405.4953624
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",15044340220.72796
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),6027881928.366663
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,2826726.785575736
Wood waste for treatment: landfill,544387.7033759003
"Wool, silk-worm cocoons",353752281.90789735
products of Vegetable oils and fats,10408916064.68339
