sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,1125740369.073344
Air transport services (62),55633480890.42668
Aluminium and aluminium products,47885530011.67485
Aluminium ores and concentrates,377040485.21958745
Animal products nec,1220785261.589338
Anthracite,178864022.24283078
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,52537175.606517605
BKB/Peat Briquettes,2011802037.8779411
Basic iron and steel and of ferro-alloys and first products thereof,219781450806.35666
Beverages,35186922189.7861
Biodiesels,7406672354.385036
Biogas,1313498646.6754267
Biogasoline,1122500178.5635762
Bitumen,2035198930.921789
Blast Furnace Gas,1205087436.826633
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",10259623428.380674
Cattle,101752830640.62915
"Cement, lime and plaster",168302900079.8929
Ceramic goods,14345071073.238348
Cereal grains nec,56701464474.72566
Charcoal,3340168.0114756385
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",5490557941.028022
Chemicals nec,66532511108.900185
Coal Tar,912407034.7798313
Coke Oven Coke,16128751862.769463
Coke oven gas,310247310.4118731
Coking Coal,1342209272.6093764
"Collected and purified water, distribution services of water (41)",9371242888.648787
Computer and related services (72),39636727928.173965
Construction work (45),129830964920.39311
Copper ores and concentrates,5237085288.988454
Copper products,34826632982.13263
Crops nec,7428892945.112772
"Crude petroleum and services related to crude oil extraction, excluding surveying",27177554585.0861
Dairy products,95746395138.76712
Distribution and trade services of electricity,76888257092.40643
Distribution services of gaseous fuels through mains,71013688884.75609
Education services (80),8453945140.467109
Electrical machinery and apparatus n.e.c. (31),17308718002.42186
Electricity by Geothermal,185161249.39400303
Electricity by biomass and waste,10835592067.749168
Electricity by coal,336748063989.06885
Electricity by gas,155416635749.273
Electricity by hydro,5626296792.751497
Electricity by nuclear,5436311991.563814
Electricity by petroleum and other oil derivatives,23215303980.041313
Electricity by solar photovoltaic,1665607003.9362996
Electricity by solar thermal,255594815.74461234
"Electricity by tide, wave, ocean",4923858.307443673
Electricity by wind,3556049294.7318344
Electricity nec,90992932.53407173
Ethane,1376595.9755163374
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",155735630200.8521
"Financial intermediation services, except insurance and pension funding services (65)",37024377256.953476
Fish and other fishing products; services incidental of fishing (05),4163373653.6726465
Fish products,13299629569.923029
Food products nec,101299409800.06934
Food waste for treatment: biogasification and land application,2190294581.563653
Food waste for treatment: composting and land application,11310485610.026684
Food waste for treatment: incineration,7206276595.696463
Food waste for treatment: landfill,11607360663.015854
Food waste for treatment: waste water treatment,9169938541.608608
Foundry work services,37564015880.15412
Furniture; other manufactured goods n.e.c. (36),13188987806.223104
Gas Coke,0.0
Gas Works Gas,298708898.6652605
Gas/Diesel Oil,82244066248.76776
Gasoline Type Jet Fuel,0.0
Glass and glass products,29364384059.86459
Health and social work services (85),6820861717.804946
Heavy Fuel Oil,20243465269.159985
Hotel and restaurant services (55),25527365366.705322
Inert/metal/hazardous waste for treatment: landfill,9251015808.588228
Inland water transportation services,3088821748.2715707
"Insurance and pension funding services, except compulsory social security services (66)",9694998047.13818
Intert/metal waste for treatment: incineration,9845808320.004
Iron ores,1128868676.728019
Kerosene,4694099241.283704
Kerosene Type Jet Fuel,26216296991.12252
"Lead, zinc and tin and products thereof",11813503029.856487
"Lead, zinc and tin ores and concentrates",812508019.3228916
Leather and leather products (19),8580005211.6879425
Lignite/Brown Coal,3901697876.7652664
Liquefied Petroleum Gases (LPG),3480041988.0294867
Lubricants,1680377197.231033
Machinery and equipment n.e.c. (29),96378271935.54927
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,5629291792.09729
Meat products nec,2890538368.88661
"Medical, precision and optical instruments, watches and clocks (33)",2191264647.0412006
Membership organisation services n.e.c. (91),4151678276.3114448
Motor Gasoline,39519669870.04373
"Motor vehicles, trailers and semi-trailers (34)",102203156909.1689
N-fertiliser,2708824237.206967
Naphtha,11349315055.082466
Natural Gas Liquids,352269600.33361137
"Natural gas and services related to natural gas extraction, excluding surveying",11338801799.258024
Nickel ores and concentrates,1647959896.5980735
Non-specified Petroleum Products,1214051131.9159482
Nuclear fuel,676345883.595245
Office machinery and computers (30),5755414931.506439
Oil seeds,20784463192.84453
Oil/hazardous waste for treatment: incineration,7530615954.588288
Other Bituminous Coal,13976466865.33317
Other Hydrocarbons,481877785.06745636
Other Liquid Biofuels,726201309.6801627
Other business services (74),110678848902.63742
Other land transportation services,116919204900.0548
Other non-ferrous metal ores and concentrates,4959021083.354552
Other non-ferrous metal products,8223592993.645908
Other non-metallic mineral products,21484635307.017708
Other services (93),4345592043.194862
Other transport equipment (35),31107404034.948097
Other waste for treatment: waste water treatment,18837077649.837513
Oxygen Steel Furnace Gas,7150443.850245315
P- and other fertiliser,9994510003.231369
Paddy rice,2126369230.7236555
Paper and paper products,54423808494.644875
Paper and wood waste for treatment: composting and land application,41411250.18358761
Paper for treatment: landfill,5836237315.156116
Paper waste for treatment: biogasification and land application,317312884.19911885
Paper waste for treatment: incineration,7929768964.837825
Paraffin Waxes,452517840.3601271
Patent Fuel,7801726.421667172
Peat,55882865.18632154
Petroleum Coke,324783536.30258626
Pigs,35325327335.77744
Plant-based fibers,693521272.8913368
Plastic waste for treatment: incineration,7251976306.965721
Plastic waste for treatment: landfill,2010260270.569094
"Plastics, basic",108581018342.97627
Post and telecommunication services (64),25502217454.05759
Poultry,10004449678.068811
Precious metal ores and concentrates,2513850867.2049723
Precious metals,10529955573.932276
Printed matter and recorded media (22),14428534508.258652
