Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg) - ecoinvent-3.11-cutoff,Unit impact of end-of-life (kg CO2/kg) - ecoinvent-3.12-cutoff,"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
"Polypropylene, in primary forms",Polypropylene,11.05981649,0.864021049,0.85627718,2.289803764792132,0.0875813243376466,0.466132088617711,0.0,0.0,0.0,0.0,0.0,3.049225589995086,2.634595092905198,1.841080004334483,0.0974793437734966,0.0,0.0,0.0,0.0,0.0,0.0,2.3416386163024563,2.0240234205117176,0.7914654738699831,0.7914180773160657,3.8406910638650693,33.723875461957626,42.477338361130535,3.133056693618522,25.89809338220269,34.65103208418701,0.0,0.0
Ethylene,Ethylene,10.33749377,0.879048633,0.856399287,0.0,1.8229857480794645,0.0,0.0,0.0,0.0,0.0,0.0,1.8233934504459255,1.600745290093138,0.0,1.8790377165437917,0.0,0.0,0.0,0.0,0.0,0.0,1.879215073486688,1.6640826066083536,0.7915783385788357,0.7915309352660661,2.6149717890247612,18.849318434243557,27.032254577769223,2.670746008752754,19.426374114658728,27.608820226733958,0.0,0.0
Propene (propylene),Propylene,9.081741202,0.944094186,0.856297529,1.822744240221504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82274423930588,1.7191931166211138,1.887231562315007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.887417003380576,1.787217103395073,0.7914842826521205,0.7914368849718476,2.614228521958,16.553691458812356,23.74174687930953,2.6788538883524238,17.14103276495675,24.328657731988116,0.0,0.0
Methanol (methyl alcohol),Methanol,6.904732058,0.141931648,0.374851757,0.0,0.0,0.8725298121456513,0.0,0.0,0.0,0.0,0.0,0.9206227087243252,0.1277124167039985,0.0,0.0,0.7734093716270001,0.0,0.0,0.0,0.0,0.0,0.8069346232451635,0.100360321720724,0.3464791896999997,0.3464584409495639,1.267101898424325,6.356653130251644,8.748999098803095,1.1533930641947274,5.571667361831032,7.963870065820186,0.0,0.0
Benzene,Benzene,6.234476067,0.882870815,0.922621943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039724466279052,2.0708824605839395,1.8229157723490144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0795315128667213,2.1111133254052867,1.8689277277304763,0.8527885950660737,0.8527375262046255,2.923671055650013,12.910867138080642,18.227557224230633,2.9638508516099122,13.161685501964044,18.478057200519565,2.039724466279052,2.0795315128667213
Styrene,Styrene,3.627976392,0.826907255,0.922592415,0.0,0.524959770645461,0.0,0.0,0.0,0.0,0.0,1.6193501668735235,3.290624492134093,2.662876420544558,0.1566001004235324,0.3426978406915177,0.0139329499563941,0.0,0.0,0.0,0.0,1.320801958232136,3.4341758332706727,2.776166296412139,0.8527613020433724,0.8527102348163544,4.143385794177465,11.938307972399478,15.032105844224015,4.286886068087027,12.459108849082929,15.552721450213436,1.6193501668735235,1.320801958232136
Phthalic anhydride; terephthalic acid and its salts,Terephthalic acid,3.491283735,0.801997263,0.578390417,0.0,0.0,0.0,0.0,0.0,1.6028377513517584,0.0,0.0,2.522800194720736,2.023278851261897,0.0,0.0,0.0,0.0,0.0,1.5862268127062071,0.0,0.0,2.5077724736246974,2.011226660073747,0.5346119879929092,0.534579972994466,3.0574121827136453,8.80781128648334,10.674293424698998,3.042352446619163,8.755345248246623,10.62171561301894,1.6028377513517584,1.5862268127062071
"Buta-1,3-diene and isoprene",Butadiene,2.808940257,0.996817214,0.888223331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.668062195900209,2.6595703248959683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7221810111665787,2.713516891554772,0.8209936174782677,0.8209444526447516,3.4890558133784766,7.494427310243918,9.800549333118683,3.5431254638113305,7.64644382910677,9.952427750901444,0.0,0.0
Butene (butylene) and isomers thereof,Butylene,2.000046666,0.999976668,0.856322966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8237710289510107,1.8237284767253632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9168250578465007,1.9167803344842516,0.7915077943230245,0.7914603952347659,2.615278823274035,3.6476271660008583,5.2306796911496365,2.708285453081267,3.8337395662511504,5.416697291011486,0.0,0.0
Ethylene glycol (ethanediol),Ethylene glycol,1.795747967,0.556871019,0.387014661,0.0,1.1060938114769638,0.0655472659548853,0.0,0.0,0.0,0.0,0.0,2.3143898688517264,1.0975334988174508,0.0,1.038473508069004,0.0,0.0,0.0,0.0,0.0,0.0,2.2670109110048853,1.142003408557278,0.357721482269323,0.3577000602792532,2.6721113511210492,4.156060901835884,4.798438526373247,2.6247109712841383,4.070980234603841,4.713319390646087,0.0,0.0
