Member,Code,Label_EN,Explanatory_EN
http://data.europa.eu/qw1/prodcom2024/07101010,07.10.10.10,07.10.10.10 Iron ores and concentrates. Non-agglomerated (excluding roasted iron pyrites),Iron ores and concentrates. Non-agglomerated (excluding roasted iron pyrites)
http://data.europa.eu/qw1/prodcom2024/07101020,07.10.10.20,07.10.10.20 Iron ores and concentrates. Agglomerated (excluding roasted iron pyrites),Iron ores and concentrates. Agglomerated (excluding roasted iron pyrites)
http://data.europa.eu/qw1/prodcom2024/07291100,07.29.11.00,07.29.11.00 Copper ores and concentrates,Copper ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291200,07.29.12.00,07.29.12.00 Nickel ores and concentrates,Nickel ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291300,07.29.13.00,07.29.13.00 Aluminium ores and concentrates,Aluminium ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291410,07.29.14.10,07.29.14.10 Silver ores and concentrates,Silver ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291420,07.29.14.20,07.29.14.20 Other precious-metal ores and concentrates (excl. silver ores and concentrates),Other precious-metal ores and concentrates (excl. silver ores and concentrates)
http://data.europa.eu/qw1/prodcom2024/07291510,07.29.15.10,07.29.15.10 Lead ores and concentrates,Lead ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291520,07.29.15.20,07.29.15.20 Zinc ores and concentrates,Zinc ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291530,07.29.15.30,07.29.15.30 Tin ores and concentrates,Tin ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291905,07.29.19.05,07.29.19.05 Cobalt ores and concentrates,Cobalt ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291910,07.29.19.10,07.29.19.10 Chromium ores and concentrates,Chromium ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291915,07.29.19.15,"07.29.19.15 Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight","Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight"
http://data.europa.eu/qw1/prodcom2024/07291920,07.29.19.20,07.29.19.20 Tungsten ores and concentrates,Tungsten ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291925,07.29.19.25,07.29.19.25 Molybdenum ores and concentrates. Roasted.,Molybdenum ores and concentrates. Roasted.
http://data.europa.eu/qw1/prodcom2024/07291926,07.29.19.26,07.29.19.26 Molybdenum ores and concentrates. Other than roasted,Molybdenum ores and concentrates. Other than roasted
http://data.europa.eu/qw1/prodcom2024/07291930,07.29.19.30,07.29.19.30 Titanium ores and concentrates,Titanium ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291935,07.29.19.35,07.29.19.35 Zirconium ores and concentrates,Zirconium ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291940,07.29.19.40,"07.29.19.40 Niobium, tantalum or vanadium ores and concentrates","Niobium, tantalum or vanadium ores and concentrates"
http://data.europa.eu/qw1/prodcom2024/07291945,07.29.19.45,07.29.19.45 Antimony ores and concentrates,Antimony ores and concentrates
http://data.europa.eu/qw1/prodcom2024/07291990,07.29.19.90,07.29.19.90 Other ores and concentrates n.e.s.,Other ores and concentrates n.e.s.
http://data.europa.eu/qw1/prodcom2024/08111133,08.11.11.33,"08.11.11.33 Marble and travertine, crude or roughly trimmed","Marble and travertine, crude or roughly trimmed"
http://data.europa.eu/qw1/prodcom2024/08111136,08.11.11.36,08.11.11.36 Marble and travertine merely cut into rectangular or square blocks or slabs,Marble and travertine merely cut into rectangular or square blocks or slabs
http://data.europa.eu/qw1/prodcom2024/08111150,08.11.11.50,"08.11.11.50 Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ≥ 2,5","Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ≥ 2,5"
http://data.europa.eu/qw1/prodcom2024/08111220,08.11.12.20,"08.11.12.20 Quartzite (crude, roughly trimmed or merely cut)","Quartzite (crude, roughly trimmed or merely cut)"
http://data.europa.eu/qw1/prodcom2024/08111233,08.11.12.33,"08.11.12.33 Granite, crude or roughly trimmed","Granite, crude or roughly trimmed"
http://data.europa.eu/qw1/prodcom2024/08111236,08.11.12.36,08.11.12.36 Granite merely cut into rectangular (including square) blocks or slabs,Granite merely cut into rectangular (including square) blocks or slabs
http://data.europa.eu/qw1/prodcom2024/08111250,08.11.12.50,08.11.12.50 Sandstone,Sandstone
http://data.europa.eu/qw1/prodcom2024/08111261,08.11.12.61,"08.11.12.61 Porphyry (crude, roughly trimmed or merely cut)","Porphyry (crude, roughly trimmed or merely cut)"
http://data.europa.eu/qw1/prodcom2024/08111262,08.11.12.62,"08.11.12.62 Basalt (crude, roughly trimmed or merely cut)","Basalt (crude, roughly trimmed or merely cut)"
http://data.europa.eu/qw1/prodcom2024/08111269,08.11.12.69,08.11.12.69 Other monumental or building stone (excluding porphyry and basalt),Other monumental or building stone (excluding porphyry and basalt)
http://data.europa.eu/qw1/prodcom2024/081112Z1,08.11.12.Z1,"08.11.12.Z1 Porphyry, basalt and other monumental or building stone","Porphyry, basalt and other monumental or building stone"
http://data.europa.eu/qw1/prodcom2024/08112030,08.11.20.30,08.11.20.30 Gypsum and anhydrite,Gypsum and anhydrite
http://data.europa.eu/qw1/prodcom2024/08112050,08.11.20.50,"08.11.20.50 Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)","Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)"
http://data.europa.eu/qw1/prodcom2024/08113010,08.11.30.10,08.11.30.10 Chalk,Chalk
http://data.europa.eu/qw1/prodcom2024/08113030,08.11.30.30,"08.11.30.30 Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)","Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
http://data.europa.eu/qw1/prodcom2024/08114000,08.11.40.00,"08.11.40.00 Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs","Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs"
http://data.europa.eu/qw1/prodcom2024/08121150,08.12.11.50,08.12.11.50 Silica sands (quartz sands or industrial sands),Silica sands (quartz sands or industrial sands)
http://data.europa.eu/qw1/prodcom2024/08121190,08.12.11.90,"08.12.11.90 Sands such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, metal bearing sands)","Sands such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, metal bearing sands)"
http://data.europa.eu/qw1/prodcom2024/08121210,08.12.12.10,"08.12.12.10 Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint","Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint"
http://data.europa.eu/qw1/prodcom2024/08121235,08.12.12.35,"08.12.12.35 Limestone, dolomite and other calcareous stone, broken or crushed","Limestone, dolomite and other calcareous stone, broken or crushed"
http://data.europa.eu/qw1/prodcom2024/08121240,08.12.12.40,"08.12.12.40 Other broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast (excluding pebbles, gravel, shingle, flint, limestone, dolomite and other calcareous stone)","Other broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast (excluding pebbles, gravel, shingle, flint, limestone, dolomite and other calcareous stone)"
http://data.europa.eu/qw1/prodcom2024/08121250,08.12.12.50,"08.12.12.50 Granules, chippings and powder of marble","Granules, chippings and powder of marble"
http://data.europa.eu/qw1/prodcom2024/08121290,08.12.12.90,"08.12.12.90 Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone","Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone"
http://data.europa.eu/qw1/prodcom2024/08121300,08.12.13.00,"08.12.13.00 Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use","Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use"
http://data.europa.eu/qw1/prodcom2024/08122140,08.12.21.40,"08.12.21.40 Kaolin, not calcined","Kaolin, not calcined"
http://data.europa.eu/qw1/prodcom2024/08122160,08.12.21.60,08.12.21.60 Kaolinitic clays (ball and plastic clays),Kaolinitic clays (ball and plastic clays)
http://data.europa.eu/qw1/prodcom2024/08122210,08.12.22.10,08.12.22.10 Bentonite,Bentonite
http://data.europa.eu/qw1/prodcom2024/08122230,08.12.22.30,08.12.22.30 Fireclay,Fireclay
http://data.europa.eu/qw1/prodcom2024/08122255,08.12.22.55,08.12.22.55 Other clays,Other clays
http://data.europa.eu/qw1/prodcom2024/08122260,08.12.22.60,"08.12.22.60 Andalusite, kyanite and sillimanite","Andalusite, kyanite and sillimanite"
http://data.europa.eu/qw1/prodcom2024/08122270,08.12.22.70,08.12.22.70 Mullite,Mullite
http://data.europa.eu/qw1/prodcom2024/08122280,08.12.22.80,08.12.22.80 Chamotte or dinas earths,Chamotte or dinas earths
http://data.europa.eu/qw1/prodcom2024/08911100,08.91.11.00,08.91.11.00 Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk
http://data.europa.eu/qw1/prodcom2024/08911220,08.91.12.20,08.91.12.20 Unroasted iron pyrites,Unroasted iron pyrites
http://data.europa.eu/qw1/prodcom2024/08911230,08.91.12.30,08.91.12.30 Crude or unrefined sulphur (including recovered sulphur),Crude or unrefined sulphur (including recovered sulphur)
http://data.europa.eu/qw1/prodcom2024/08911910,08.91.19.10,08.91.19.10 Natural barium sulphate (barytes) and carbonate (witherite),Natural barium sulphate (barytes) and carbonate (witherite)
http://data.europa.eu/qw1/prodcom2024/08911911,08.91.19.11,"08.91.19.11 Natural borates and concentrates thereof (not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight","Natural borates and concentrates thereof (not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight"
http://data.europa.eu/qw1/prodcom2024/08911912,08.91.19.12,08.91.19.12 Fluorspar,Fluorspar
http://data.europa.eu/qw1/prodcom2024/08911913,08.91.19.13,"08.91.19.13 Kieserite, epsomite (natural magnesium sulphates)","Kieserite, epsomite (natural magnesium sulphates)"
http://data.europa.eu/qw1/prodcom2024/08911919,08.91.19.19,"08.91.19.19 Other mineral substances n.e.s. (excluding vermiculite, perlite and chlorites, unexpanded and kieserite, epsomite (natural magnesium sulphates))","Other mineral substances n.e.s. (excluding vermiculite, perlite and chlorites, unexpanded and kieserite, epsomite (natural magnesium sulphates))"
http://data.europa.eu/qw1/prodcom2024/08931000,08.93.10.00,"08.93.10.00 Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents","Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents"
http://data.europa.eu/qw1/prodcom2024/08991000,08.99.10.00,08.99.10.00 Natural bitumen and natural asphalt; asphaltites and asphaltic rocks,Natural bitumen and natural asphalt; asphaltites and asphaltic rocks
