freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20141120,Saturated acyclic hydrocarbons,700000000,2024,KG,65463753,2024,KG,1707980335,2024,KG
A,EU27_2020,20141130,Ethylene,8082262489,2024,KG,7255001,2024,KG,1162202519,2024,KG
A,EU27_2020,20141140,Propene (propylene),9154997559,2024,KG,151507551,2024,KG,225368724,2024,KG
A,EU27_2020,20141150,Butene (butylene) and isomers thereof,1800000000,2024,KG,91343999,2024,KG,76728,2024,KG
A,EU27_2020,20141160,"Buta-1,3-diene and isoprene",2043943673,2024,KG,85693377,2024,KG,5603755,2024,KG
A,EU27_2020,20141165,Unsaturated acyclic hydrocarbons; buta-1.3-diene,2174651913,2008,KG,209246900,2008,KG,14293100,2008,KG
A,EU27_2020,20141167,Unsaturated acyclic hydrocarbons; Isoprene,70000000,2008,KG,2623900,2008,KG,29385900,2008,KG
A,EU27_2020,20141190,"Unsaturated acyclic hydrocarbons (excluding ethylene, propene, butene, buta-1,3-diene and isoprene)",800000000,2024,KG,43530320,2024,KG,421413202,2024,KG
A,EU27_2020,20141213,Cyclohexane,280000000,2024,KG,4913590,2024,KG,334333996,2024,KG
A,EU27_2020,20141215,Cyclanes; cyclenes and cycloterpenes (excluding cyclohexane),107070813,2024,KG,47483887,2024,KG,62192735,2024,KG
A,EU27_2020,20141223,Benzene,5459018446,2024,KG,342450902,2024,KG,531552505,2024,KG
A,EU27_2020,20141225,Toluene,963343770,2024,KG,151636245,2024,KG,43116918,2024,KG
A,EU27_2020,20141243,o-Xylene,78810997,2024,KG,22710917,2024,KG,181949134,2024,KG
A,EU27_2020,20141245,p-Xylene,400000000,2024,KG,196541201,2024,KG,179092855,2024,KG
A,EU27_2020,20141247,m-Xylene and mixed xylene isomers,400000000,2024,KG,11504217,2024,KG,3599974,2024,KG
A,EU27_2020,20141250,Styrene,2340000000,2024,KG,335102036,2024,KG,652240374,2024,KG
A,EU27_2020,20141260,Ethylbenzene,400000000,2024,KG,681631,2024,KG,43532407,2024,KG
A,EU27_2020,20141270,Cumene,600000000,2024,KG,38539,2024,KG,15550552,2024,KG
A,EU27_2020,20141290,Other cyclic hydrocarbons,515000000,2024,KG,20646489,2024,KG,20366336,2024,KG
A,EU27_2020,20141313,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),200000000,2024,KG,35003761,2024,KG,750976,2024,KG
A,EU27_2020,20141315,Dichloromethane (methylene chloride),100000000,2024,KG,65279285,2024,KG,4844466,2024,KG
A,EU27_2020,20141323,Chloroform (trichloromethane),80000000,2024,KG,14929082,2024,KG,251493,2024,KG
A,EU27_2020,20141325,Carbon tetrachloride,24929000,2024,KG,935146,2024,KG,166,2024,KG
A,EU27_2020,20141353,"1,2-Dichloroethane (ethylene dichloride)",900000000,2024,KG,272995157,2024,KG,118745547,2024,KG
A,EU27_2020,20141357,"Saturated chlorinated derivatives of acyclic hydrocarbons, n.e.c.",40000000,2024,KG,30944147,2024,KG,2217831,2024,KG
A,EU27_2020,20141371,Vinyl chloride (chloroethylene),700000000,2024,KG,49989654,2024,KG,107789565,2024,KG
A,EU27_2020,20141374,Trichloroethylene; tetrachloroethylene (perchloroethylene),82929315,2024,KG,54208449,2024,KG,2139448,2024,KG
A,EU27_2020,20141379,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excluding vinyl chloride, trichloroethylene, tetrachloroethylene)",119748902,2024,KG,17064798,2024,KG,4380079,2024,KG
A,EU27_2020,20141450,Derivatives of hydrocarbons containing only sulpho groups; their salts and ethyl esters,132687216,2024,KG,58751441,2024,KG,15893013,2024,KG
A,EU27_2020,20141470,Derivatives of hydrocarbons containing only nitro or only nitroso groups,100545055,2024,KG,50904510,2024,KG,16420728,2024,KG
A,EU27_2020,20141490,"Derivatives of hydrocarbons (excluding those containing only sulpho groups; their salts and ethyl esters, those containing only nitro or only nitroso groups)",90000000,2024,KG,4284439,2024,KG,8663275,2024,KG
A,EU27_2020,20141910,Fluorinated; brominated or iodinated derivatives of acyclic hydrocarbons,16000000,2024,KG,7187902,2024,KG,63238081,2024,KG
