sector,value (kg CO2 eq.)
Additives/Blending Components,393155.26041595323
Air transport services (62),15049661241.339102
Aluminium and aluminium products,80326582.2841046
Aluminium ores and concentrates,51529.20685795143
Animal products nec,1594195971.2714434
Anthracite,0.0
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,20167.617901444188
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,347056795.9405672
Beverages,6230599418.696748
Biodiesels,55085072.95567771
Biogas,935.3993349647083
Biogasoline,115743771.65810929
Bitumen,658099.3223011777
Blast Furnace Gas,0.661056549486895
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",5276090.051614731
Cattle,4374224933.521772
"Cement, lime and plaster",50702416.07718076
Ceramic goods,350871658.31766504
Cereal grains nec,1165651824.8100255
Charcoal,0.0
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",3490769.1185443345
Chemicals nec,1911854857.836633
Coal Tar,19666376.124941476
Coke Oven Coke,117751792.51039861
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",806482008.9138932
Computer and related services (72),5038653056.779431
Construction work (45),48600658446.36837
Copper ores and concentrates,0.0
Copper products,17553127.124121744
Crops nec,15630297.839656953
"Crude petroleum and services related to crude oil extraction, excluding surveying",581034.5411674593
Dairy products,12619551024.374043
Distribution and trade services of electricity,6036993941.057376
Distribution services of gaseous fuels through mains,4935339515.585788
Education services (80),7232638235.589938
Electrical machinery and apparatus n.e.c. (31),121118.73157575406
Electricity by Geothermal,3975.3688045660024
Electricity by biomass and waste,77954387.09847987
Electricity by coal,424597125.3031911
Electricity by gas,1537003987.5002697
Electricity by hydro,106839161.97813559
Electricity by nuclear,1931019645.5044951
Electricity by petroleum and other oil derivatives,900912997.5869019
Electricity by solar photovoltaic,11756235.224675298
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",1731440.457245899
Electricity by wind,98582065.18344998
Electricity nec,2250831.1856504367
Ethane,4668.406120466495
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",1557109381.1142974
"Financial intermediation services, except insurance and pension funding services (65)",828500992.1645758
Fish and other fishing products; services incidental of fishing (05),542559426.3813068
Fish products,1609157802.6330962
Food products nec,20932093819.328976
Food waste for treatment: biogasification and land application,12152447.584535854
Food waste for treatment: composting and land application,100372606.58387728
Food waste for treatment: incineration,206415456.5342642
Food waste for treatment: landfill,342019625.5525748
Food waste for treatment: waste water treatment,273684720.2899109
Foundry work services,1993493.8328774546
Furniture; other manufactured goods n.e.c. (36),4772351879.193053
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,3839035473.3035107
Gasoline Type Jet Fuel,0.0
Glass and glass products,84304071.01412974
Health and social work services (85),11417406953.420301
Heavy Fuel Oil,257517802.29781494
Hotel and restaurant services (55),14622595568.527952
Inert/metal/hazardous waste for treatment: landfill,511345228.55340856
Inland water transportation services,18980321.972997654
"Insurance and pension funding services, except compulsory social security services (66)",2905464237.0914
Intert/metal waste for treatment: incineration,61084470.092544526
Iron ores,0.0
Kerosene,29020.09565735549
Kerosene Type Jet Fuel,369719191.30966103
"Lead, zinc and tin and products thereof",9999102.631375397
"Lead, zinc and tin ores and concentrates",0.0
Leather and leather products (19),1628640824.917884
Lignite/Brown Coal,2.349826390289936
Liquefied Petroleum Gases (LPG),144131050.62184516
Lubricants,5703.259424744439
Machinery and equipment n.e.c. (29),4345326076.936995
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,2718065000.7627397
Meat products nec,1295045402.9056406
"Medical, precision and optical instruments, watches and clocks (33)",0.0
Membership organisation services n.e.c. (91),970177796.709882
Motor Gasoline,3941599335.5077615
"Motor vehicles, trailers and semi-trailers (34)",8866715736.09843
N-fertiliser,3240152.5963931615
Naphtha,11134461.741601944
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",56775206.18758518
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,8634091.656180348
Nuclear fuel,743901052.476913
Office machinery and computers (30),8351073193.325663
Oil seeds,1080245264.9679036
Oil/hazardous waste for treatment: incineration,172193795.40075153
Other Bituminous Coal,0.0
Other Hydrocarbons,0.0
Other Liquid Biofuels,0.0
Other business services (74),6741433366.893498
Other land transportation services,3320848902.6914487
Other non-ferrous metal ores and concentrates,0.04379949533887904
Other non-ferrous metal products,4131177.835858632
Other non-metallic mineral products,228936455.4446074
Other services (93),943159741.7656101
Other transport equipment (35),7230881100.442212
Other waste for treatment: waste water treatment,523245025.4128756
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,142981888.91775295
Paddy rice,8274328.737270776
Paper and paper products,410638632.0546325
Paper and wood waste for treatment: composting and land application,342623.37777737697
Paper for treatment: landfill,70501969.23438327
Paper waste for treatment: biogasification and land application,1638165.941102395
Paper waste for treatment: incineration,159785723.61737603
Paraffin Waxes,353531.5850868121
Patent Fuel,0.0
Peat,0.0
Petroleum Coke,59788.78842284521
Pigs,1252065448.7585242
Plant-based fibers,6558509.94181162
Plastic waste for treatment: incineration,40671446.78101664
Plastic waste for treatment: landfill,18798333.15128459
"Plastics, basic",3404117299.0979457
Post and telecommunication services (64),2564662063.626804
Poultry,2423984302.0877337
Precious metal ores and concentrates,0.0
Precious metals,17776406.874310162
Printed matter and recorded media (22),3232929739.552277
Private households with employed persons (95),17292640.57926024
Processed rice,2946964.8041570187
"Products of forestry, logging and related services (02)",643835681.9039283
Products of meat cattle,14216950404.713406
Products of meat pigs,2558953300.5510764
Products of meat poultry,1957956525.1733327
Public administration and defence services; compulsory social security services (75),22476130011.358967
Pulp,27204566.21111299
"Radio, television and communication equipment and apparatus (32)",106577.96480985268
Railway transportation services,6250421034.215639
Raw milk,78122173.64594637
Real estate services (70),7827910268.512508
"Recreational, cultural and sporting services (92)",6955600703.5770235
Refinery Feedstocks,0.0
Refinery Gas,2029.7053139874145
Renting services of machinery and equipment without operator and of personal and household goods (71),648363049.2806762
Research and development services (73),5680051380.4318075
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",15358481768.490004
Retail trade services of motor fuel,150157336.07731053
Rubber and plastic products (25),2111670537.4676812
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",4559589240.194566
Sand and clay,139398643.12250528
Sea and coastal water transportation services,10385825519.95495
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),1948277.637774681
Sewage sludge for treatment: biogasification and land application,171547952.82699212
Steam and hot water supply services,0.0
Stone,47911570.459904134
Sub-Bituminous Coal,0.0
