sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,1182797.8495617579
Air transport services (62),18203824309.368294
Aluminium and aluminium products,66268212.648109496
Aluminium ores and concentrates,545958.5216523092
Animal products nec,427876016.6975431
Anthracite,20200.103099916923
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,6248.731054032795
BKB/Peat Briquettes,0.0
Basic iron and steel and of ferro-alloys and first products thereof,999972286.8924929
Beverages,7665022209.930435
Biodiesels,43078663.03710017
Biogas,10329.714496123393
Biogasoline,12335287.104122037
Bitumen,1798485.520609923
Blast Furnace Gas,81677.53583368493
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",7274841.676889756
Cattle,2029605256.910002
"Cement, lime and plaster",74485317.8193447
Ceramic goods,552660067.9867501
Cereal grains nec,783942301.7702575
Charcoal,7467165.791389991
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",21662446.77731036
Chemicals nec,2389229675.650322
Coal Tar,1062040.7241778828
Coke Oven Coke,829036.0607223535
Coke oven gas,0.0
Coking Coal,183.60621214068937
"Collected and purified water, distribution services of water (41)",798234813.0749415
Computer and related services (72),5716564312.940887
Construction work (45),54367563468.66058
Copper ores and concentrates,0.0
Copper products,77206176.69203666
Crops nec,12385981.455674147
"Crude petroleum and services related to crude oil extraction, excluding surveying",1254005.969200154
Dairy products,19771098539.820705
Distribution and trade services of electricity,2357728470.2349677
Distribution services of gaseous fuels through mains,5144843863.161707
Education services (80),8406838683.517422
Electrical machinery and apparatus n.e.c. (31),36575402.28753616
Electricity by Geothermal,55962.38316258909
Electricity by biomass and waste,36983943.71157272
Electricity by coal,597215294.3078395
Electricity by gas,3376594492.9209313
Electricity by hydro,152061080.88291052
Electricity by nuclear,950376919.1589843
Electricity by petroleum and other oil derivatives,817207164.7261795
Electricity by solar photovoltaic,36919502.88721152
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",1310252.6986229368
Electricity by wind,101508814.12988123
Electricity nec,2559557.1964935763
Ethane,246512.75990602066
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",2719452531.7781672
"Financial intermediation services, except insurance and pension funding services (65)",1248165417.938983
Fish and other fishing products; services incidental of fishing (05),2245111043.279056
Fish products,260097067.7920945
Food products nec,19283647799.948612
Food waste for treatment: biogasification and land application,23593539.858073957
Food waste for treatment: composting and land application,509897203.429742
Food waste for treatment: incineration,569452321.8158315
Food waste for treatment: landfill,825548596.0531538
Food waste for treatment: waste water treatment,1119255674.9832819
Foundry work services,58137.66053266933
Furniture; other manufactured goods n.e.c. (36),366613024.2864851
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,5132066450.340817
Gasoline Type Jet Fuel,0.0
Glass and glass products,61712332.89598731
Health and social work services (85),7617813138.764482
Heavy Fuel Oil,4021942808.3904796
Hotel and restaurant services (55),6446321417.637256
Inert/metal/hazardous waste for treatment: landfill,1006028973.2736174
Inland water transportation services,431736622.88573587
"Insurance and pension funding services, except compulsory social security services (66)",3346389874.254711
Intert/metal waste for treatment: incineration,1164460993.1342895
Iron ores,0.0
Kerosene,135259.2444881519
Kerosene Type Jet Fuel,222497512.8896047
"Lead, zinc and tin and products thereof",13473875.939437352
"Lead, zinc and tin ores and concentrates",0.0
Leather and leather products (19),681415995.0570985
Lignite/Brown Coal,203.1492431900021
Liquefied Petroleum Gases (LPG),363644529.87749565
Lubricants,248084.34330854693
Machinery and equipment n.e.c. (29),8613772241.892754
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,2189857476.236429
Meat products nec,774063794.3074663
"Medical, precision and optical instruments, watches and clocks (33)",0.0
Membership organisation services n.e.c. (91),1156215496.0740697
Motor Gasoline,7582649480.207976
"Motor vehicles, trailers and semi-trailers (34)",21817328299.452114
N-fertiliser,80513007.43376759
Naphtha,34109624.88386913
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",427117811.106655
Nickel ores and concentrates,0.1774949438412759
Non-specified Petroleum Products,8956942.55753957
Nuclear fuel,669180711.8605653
Office machinery and computers (30),81363438.55856633
Oil seeds,631134348.631494
Oil/hazardous waste for treatment: incineration,1054385698.9449232
Other Bituminous Coal,361990.269211052
Other Hydrocarbons,0.0
Other Liquid Biofuels,0.0
Other business services (74),4038152733.7000685
Other land transportation services,9741825796.247766
Other non-ferrous metal ores and concentrates,4324.887350005684
Other non-ferrous metal products,6408920.526884212
Other non-metallic mineral products,231625300.9952906
Other services (93),503319572.8117203
Other transport equipment (35),9830329170.587612
Other waste for treatment: waste water treatment,1831458241.653782
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,91305379.15067416
Paddy rice,4231885.30773425
Paper and paper products,992721063.3963994
Paper and wood waste for treatment: composting and land application,270434.47076439444
Paper for treatment: landfill,105662828.79566447
Paper waste for treatment: biogasification and land application,1861129.622502453
Paper waste for treatment: incineration,730506699.8206501
Paraffin Waxes,2671425.9495523935
Patent Fuel,0.0
Peat,0.0
Petroleum Coke,658528.2796768866
Pigs,623393130.2915925
Plant-based fibers,10294026.98895038
Plastic waste for treatment: incineration,141703189.48680273
Plastic waste for treatment: landfill,50075529.30494639
"Plastics, basic",9563821352.291904
Post and telecommunication services (64),104681751.79842317
Poultry,2446891123.5362835
Precious metal ores and concentrates,0.0
Precious metals,8280966.620481054
Printed matter and recorded media (22),129914936.92357345
Private households with employed persons (95),24432017.564601533
Processed rice,10986042.834910167
"Products of forestry, logging and related services (02)",759983123.1726367
Products of meat cattle,20340542187.746136
Products of meat pigs,1473409906.5127904
Products of meat poultry,2813088051.685183
Public administration and defence services; compulsory social security services (75),9079797336.322268
Pulp,102156518.9181265
"Radio, television and communication equipment and apparatus (32)",23336860.515226346
Railway transportation services,11056320195.7651
Raw milk,250574813.65784398
Real estate services (70),4872233085.01977
"Recreational, cultural and sporting services (92)",938468516.3088855
Refinery Feedstocks,46342207.457669474
Refinery Gas,1820.4036391272923
Renting services of machinery and equipment without operator and of personal and household goods (71),566318922.4452496
Research and development services (73),1173512751.4554505
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",6630488031.058542
Retail trade services of motor fuel,25438337.526988298
Rubber and plastic products (25),2187240983.95111
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",3173530604.1764617
Sand and clay,1302346920.688348
Sea and coastal water transportation services,6165393062.320234
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),72441620.89165045
Sewage sludge for treatment: biogasification and land application,567243101.7080019
Steam and hot water supply services,0.0
Stone,21351293.11662462
Sub-Bituminous Coal,0.0
Sugar,936442848.0304589
"Sugar cane, sugar beet",54064.35816210026
Supporting and auxiliary transport services; travel agency services (63),15523621.858264469
Textiles (17),1377951159.9351454
Textiles waste for treatment: incineration,67075414.16708864
Textiles waste for treatment: landfill,14648979.843078421
Tobacco products (16),81512354.83671606
Transmission services of electricity,451854530.41994685
Transportation services via pipelines,2262321.8178700437
Uranium and thorium ores (12),414.2742551057868
"Vegetables, fruit, nuts",3568404508.5534096
Wearing apparel; furs (18),2411334518.2726464
Wheat,2378734203.8421745
White Spirit & SBP,15384707.255939938
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",308722861.3458525
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),406829322.26045287
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,97316550.21178237
Wood waste for treatment: landfill,61050147.268193625
"Wool, silk-worm cocoons",782435.005230356
products of Vegetable oils and fats,1471590.5409660235
