sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,0.0005830061681027787
Air transport services (62),20126793995.09653
Aluminium and aluminium products,20517198.218315035
Aluminium ores and concentrates,72336.21260634903
Animal products nec,263288739.91140723
Anthracite,16850.8069054525
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,0.0010125627706284363
BKB/Peat Briquettes,0.0027411601220146383
Basic iron and steel and of ferro-alloys and first products thereof,92273769.03916241
Beverages,1338065445.7661166
Biodiesels,4246401.5082969405
Biogas,0.0
Biogasoline,3057015.00126296
Bitumen,0.001289859618861698
Blast Furnace Gas,0.0
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",257252.92512453048
Cattle,0.004345325120725076
"Cement, lime and plaster",3150483.022472939
Ceramic goods,288557112.007333
Cereal grains nec,1648970.573023778
Charcoal,0.0049753242583508986
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",16077751.31278074
Chemicals nec,2721050632.7813945
Coal Tar,0.0
Coke Oven Coke,16960080.94500668
Coke oven gas,0.0
Coking Coal,3483554.3509589466
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),1792457671.2302783
Construction work (45),1416561190.0874496
Copper ores and concentrates,0.06639637741375225
Copper products,618854.0633214265
Crops nec,337465753.2270124
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0011600470439574679
Dairy products,4183635009.309462
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),37382585.41123079
Electrical machinery and apparatus n.e.c. (31),0.0
Electricity by Geothermal,0.0
Electricity by biomass and waste,0.0
Electricity by coal,0.0
Electricity by gas,0.0
Electricity by hydro,0.0
Electricity by nuclear,0.0
Electricity by petroleum and other oil derivatives,0.0
Electricity by solar photovoltaic,0.0
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",0.0
Electricity by wind,0.0
Electricity nec,0.0
Ethane,0.0
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",3832201463.8140078
"Financial intermediation services, except insurance and pension funding services (65)",0.0
Fish and other fishing products; services incidental of fishing (05),520235298.52546775
Fish products,638313260.1935096
Food products nec,11369725731.068468
Food waste for treatment: biogasification and land application,0.0
Food waste for treatment: composting and land application,0.0
Food waste for treatment: incineration,0.0
Food waste for treatment: landfill,0.0
Food waste for treatment: waste water treatment,0.0
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),11107900269.85228
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,2487255935.8443913
Gasoline Type Jet Fuel,0.0
Glass and glass products,0.000824838940633491
Health and social work services (85),3384288.349869097
Heavy Fuel Oil,156761244.30303308
Hotel and restaurant services (55),2135225591.2011335
Inert/metal/hazardous waste for treatment: landfill,0.0
Inland water transportation services,162068462.10193714
"Insurance and pension funding services, except compulsory social security services (66)",131791863.47782522
Intert/metal waste for treatment: incineration,0.0
Iron ores,0.4405326912928098
Kerosene,74356034.89072323
Kerosene Type Jet Fuel,0.0013393120774230064
"Lead, zinc and tin and products thereof",141698.52757046564
"Lead, zinc and tin ores and concentrates",1038215.7246649492
Leather and leather products (19),4355165427.165778
Lignite/Brown Coal,0.003006094926492196
Liquefied Petroleum Gases (LPG),714084958.1772877
Lubricants,0.0012666950942848102
Machinery and equipment n.e.c. (29),4860210180.991983
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,381308351.1929747
Meat products nec,645321671.095657
"Medical, precision and optical instruments, watches and clocks (33)",688260363.6171236
Membership organisation services n.e.c. (91),115245.99330997093
Motor Gasoline,4743536271.815153
"Motor vehicles, trailers and semi-trailers (34)",19201637971.774128
N-fertiliser,132758.0947926418
Naphtha,9158017.860581953
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",102473351.62436843
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,302522.51775848056
Nuclear fuel,6422097.4493408585
Office machinery and computers (30),342422789.19046915
Oil seeds,62393925.26320615
Oil/hazardous waste for treatment: incineration,0.0
Other Bituminous Coal,304946.0061571782
Other Hydrocarbons,157648.68647696654
Other Liquid Biofuels,0.0
Other business services (74),1607897373.0221019
Other land transportation services,705826546.4832901
Other non-ferrous metal ores and concentrates,98.69386439667713
Other non-ferrous metal products,5069863.7701773755
Other non-metallic mineral products,544156075.5990553
Other services (93),79004949.55649053
Other transport equipment (35),4261733975.2756586
Other waste for treatment: waste water treatment,0.0
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,1.1504452861358806e-09
Paddy rice,0.0
Paper and paper products,227225147.6069818
Paper and wood waste for treatment: composting and land application,0.0
Paper for treatment: landfill,0.0
Paper waste for treatment: biogasification and land application,0.0
Paper waste for treatment: incineration,0.0
Paraffin Waxes,3362914.956376276
Patent Fuel,49699.37696728538
Peat,0.0003510571744744809
Petroleum Coke,6917117.760339877
Pigs,0.001371639889082029
Plant-based fibers,46764044.88664098
Plastic waste for treatment: incineration,0.0
Plastic waste for treatment: landfill,0.0
"Plastics, basic",109652345.98457839
Post and telecommunication services (64),380960735.3814666
Poultry,7274871.416304564
Precious metal ores and concentrates,1154.8137702862393
Precious metals,1659888.9588643883
Printed matter and recorded media (22),369267088.05228895
Private households with employed persons (95),0.305393587121617
Processed rice,92026391.1249137
"Products of forestry, logging and related services (02)",122266046.43282528
Products of meat cattle,1879423310.0065737
Products of meat pigs,311477678.0301529
Products of meat poultry,700409389.0625429
Public administration and defence services; compulsory social security services (75),33505365.496854275
Pulp,1225270.2112460088
"Radio, television and communication equipment and apparatus (32)",0.0002274723960055972
Railway transportation services,277849696.28920907
Raw milk,0.0
Real estate services (70),27702206.083217893
"Recreational, cultural and sporting services (92)",562579055.2548329
Refinery Feedstocks,0.0
Refinery Gas,0.0
Renting services of machinery and equipment without operator and of personal and household goods (71),4236582.557541796
Research and development services (73),3956340169.762436
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",10741051.42020448
Retail trade services of motor fuel,2900744.6331728715
Rubber and plastic products (25),6482757283.655139
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",39692129.78498106
Sand and clay,3640338.113369359
Sea and coastal water transportation services,19170488024.472744
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),28243906.431287717
Sewage sludge for treatment: biogasification and land application,0.0
Steam and hot water supply services,0.0
Stone,190435.79581948122
Sub-Bituminous Coal,0.00023430769537534108
Sugar,24916081.232378215
"Sugar cane, sugar beet",0.011277665862599207
Supporting and auxiliary transport services; travel agency services (63),231333114.87223855
Textiles (17),3725278329.9476156
Textiles waste for treatment: incineration,0.0
Textiles waste for treatment: landfill,0.0
Tobacco products (16),421995915.1290986
Transmission services of electricity,0.0
Transportation services via pipelines,2879713.3827058882
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",3355302434.4260817
Wearing apparel; furs (18),9839702034.448229
Wheat,24666389.434131727
White Spirit & SBP,0.0
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",0.0
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),405778786.6516724
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,0.0
Wood waste for treatment: landfill,0.0
"Wool, silk-worm cocoons",0.007802832414940241
products of Vegetable oils and fats,223534815.78432712
