freq,product,product label,PRODQNT - EU27_2020 - 2019 - amount,PRODQNT - EU27_2020 - 2019 - unit,EXPQNT - EU27_2020 - 2019 - amount,EXPQNT - EU27_2020 - 2019 - unit,IMPQNT - EU27_2020 - 2019 - amount,IMPQNT - EU27_2020 - 2019 - unit,PRODQNT - EU27_2020 - 2022 - amount,PRODQNT - EU27_2020 - 2022 - unit,EXPQNT - EU27_2020 - 2022 - amount,EXPQNT - EU27_2020 - 2022 - unit,IMPQNT - EU27_2020 - 2022 - amount,IMPQNT - EU27_2020 - 2022 - unit,PRODQNT - FR - 2019 - amount,PRODQNT - FR - 2019 - unit,EXPQNT - FR - 2019 - amount,EXPQNT - FR - 2019 - unit,IMPQNT - FR - 2019 - amount,IMPQNT - FR - 2019 - unit,PRODQNT - FR - 2022 - amount,PRODQNT - FR - 2022 - unit,EXPQNT - FR - 2022 - amount,EXPQNT - FR - 2022 - unit,IMPQNT - FR - 2022 - amount,IMPQNT - FR - 2022 - unit
A,20141120,Saturated acyclic hydrocarbons,861284640,KG,94938259,KG,1993784447,KG,980000000,KG,74915115,KG,1792881362,KG,:,KG,14838200,KG,86858300,KG,6572870,KG,12477080,KG,45142235,KG
A,20141130,Ethylene,9817689027,KG,280758738,KG,1418579590,KG,9087159767,KG,130155532,KG,1250333999,KG,1454878883,KG,198372600,KG,71123000,KG,:,KG,101283487,KG,171202101,KG
A,20141140,Propene (propylene),9792446126,KG,124453445,KG,845569901,KG,8574019066,KG,199594233,KG,507722136,KG,1055275803,KG,120498700,KG,376161400,KG,:,KG,91064341,KG,361054455,KG
A,20141150,Butene (butylene) and isomers thereof,1674613555,KG,95308472,KG,66119,KG,2000000000,KG,107722054,KG,46666,KG,:,KG,105200,KG,22874100,KG,:,KG,494,KG,22163375,KG
A,20141160,"Buta-1,3-diene and isoprene",2742866596,KG,298433161,KG,27881078,KG,2800000000,KG,278199711,KG,8940257,KG,811314214,KG,34734300,KG,267379000,KG,:,KG,16780075,KG,242912947,KG
A,20141165,Unsaturated acyclic hydrocarbons; buta-1.3-diene,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: 
A,20141167,Unsaturated acyclic hydrocarbons; Isoprene,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: 
A,20141190,"Unsaturated acyclic hydrocarbons (excluding ethylene, propene, butene, buta-1,3-diene and isoprene)",946317441,KG,124002539,KG,349604452,KG,808857061,KG,90058043,KG,420165419,KG,:,KG,23768500,KG,107374000,KG,532055,KG,1749048,KG,97771943,KG
A,20141213,Cyclohexane,608450270,KG,5029620,KG,463070237,KG,240000000,KG,4478790,KG,443315016,KG,:,KG,557000,KG,194859500,KG,:,KG,2214917,KG,77760638,KG
A,20141215,Cyclanes; cyclenes and cycloterpenes (excluding cyclohexane),100000000,KG,36477436,KG,67517838,KG,99748574,KG,41795774,KG,74879749,KG,:,KG,10577900,KG,14136100,KG,:,KG,13628552,KG,28847014,KG
A,20141223,Benzene,5406482633,KG,113144308,KG,1030258210,KG,5504236965,KG,319663008,KG,730239102,KG,453962000,KG,106748700,KG,271292700,KG,:,KG,81604347,KG,185801174,KG
A,20141225,Toluene,1279401108,KG,210931571,KG,50491828,KG,1096615778,KG,243200094,KG,23765837,KG,132656282,KG,20727600,KG,22029700,KG,87834755,KG,13289480,KG,24358090,KG
A,20141243,o-Xylene,229557755,KG,23182840,KG,113572389,KG,142572057,KG,17890026,KG,175636350,KG,:,KG,0,KG,3326900,KG,:,KG,48641274,KG,474498,KG
A,20141245,p-Xylene,895504408,KG,369289430,KG,466476317,KG,555399993,KG,95082696,KG,636505954,KG,0,KG,0,KG,10900,KG,0,KG,49094731,KG,6319207,KG
A,20141247,m-Xylene and mixed xylene isomers,932028815,KG,3284692,KG,37675130,KG,800000000,KG,1808665,KG,21433537,KG,:,KG,719900,KG,3666900,KG,:,KG,848820,KG,1816486,KG
A,20141250,Styrene,2880904684,KG,592906998,KG,780445063,KG,3000000000,KG,319176496,KG,627976392,KG,N/A,N/A,245663900,KG,314982100,KG,N/A,N/A,167106617,KG,242749901,KG
A,20141260,Ethylbenzene,566842570,KG,1574253,KG,172820488,KG,600000000,KG,2580128,KG,42497260,KG,:,KG,9512600,KG,25339100,KG,:,KG,148899,KG,4206123,KG
A,20141270,Cumene,1117467000,KG,214701,KG,240567437,KG,727568000,KG,77525,KG,50927527,KG,N/A,N/A,0,KG,10901800,KG,N/A,N/A,0,KG,2089702,KG
A,20141290,Other cyclic hydrocarbons,599253882,KG,28939953,KG,25394624,KG,753000000,KG,22560543,KG,29958858,KG,:,KG,0,KG,28467100,KG,:,KG,7180805,KG,29042478,KG
A,20141313,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),210000000,KG,28552713,KG,5877794,KG,300000000,KG,32432440,KG,894106,KG,N/A,N/A,5501400,KG,20581900,KG,N/A,N/A,9427321,KG,26272884,KG
A,20141315,Dichloromethane (methylene chloride),120000000,KG,81351035,KG,3226171,KG,140000000,KG,55232457,KG,3056485,KG,40993825,KG,36773800,KG,5646700,KG,:,KG,31514153,KG,4090040,KG
A,20141323,Chloroform (trichloromethane),120000000,KG,6537527,KG,3045872,KG,100000000,KG,3302776,KG,910325,KG,39077065,KG,0,KG,3731800,KG,:,KG,14245658,KG,5272286,KG
A,20141325,Carbon tetrachloride,26721000,KG,2123016,KG,546,KG,30251440,KG,10207739,KG,397,KG,N/A,N/A,0,KG,2922500,KG,N/A,N/A,0,KG,2143413,KG
A,20141353,"1,2-Dichloroethane (ethylene dichloride)",1000000000,KG,173165102,KG,418388518,KG,910000000,KG,179146646,KG,292939382,KG,0,KG,9400,KG,19552300,KG,0,KG,35701,KG,36205723,KG
A,20141357,"Saturated chlorinated derivatives of acyclic hydrocarbons, n.e.c.",116056666,KG,24805630,KG,982711,KG,60000000,KG,29844172,KG,1946135,KG,:,KG,0,KG,4097300,KG,:,KG,1092968,KG,3443719,KG
A,20141371,Vinyl chloride (chloroethylene),822829309,KG,17677019,KG,91575627,KG,800000000,KG,67849999,KG,82272543,KG,:,KG,0,KG,317967700,KG,:,KG,131205247,KG,324636814,KG
A,20141374,Trichloroethylene; tetrachloroethylene (perchloroethylene),96476439,KG,72564995,KG,12840110,KG,120000000,KG,69384343,KG,2962437,KG,N/A,N/A,23389000,KG,1352700,KG,N/A,N/A,13609321,KG,959259,KG
A,20141379,"Unsaturated chlorinated derivatives of acyclic hydrocarbons (excluding vinyl chloride, trichloroethylene, tetrachloroethylene)",160000000,KG,23167244,KG,3513061,KG,174203169,KG,26531248,KG,1530242,KG,N/A,N/A,3815100,KG,4755100,KG,N/A,N/A,2959817,KG,1545644,KG
A,20141450,Derivatives of hydrocarbons containing only sulpho groups; their salts and ethyl esters,210260186,KG,51283741,KG,29683486,KG,180454643,KG,54690922,KG,11377894,KG,15682691,KG,21410400,KG,48896100,KG,15858235,KG,19658915,KG,47142012,KG
A,20141470,Derivatives of hydrocarbons containing only nitro or only nitroso groups,45000000,KG,28697153,KG,25046989,KG,84850283,KG,53204508,KG,13462202,KG,N/A,N/A,10500,KG,272700,KG,N/A,N/A,1691,KG,15312,KG
A,20141490,"Derivatives of hydrocarbons (excluding those containing only sulpho groups; their salts and ethyl esters, those containing only nitro or only nitroso groups)",38836855,KG,5804871,KG,14907414,KG,96094898,KG,6055202,KG,13458439,KG,:,KG,100,KG,1143200,KG,0,KG,999428,KG,1575460,KG
A,20141910,Fluorinated; brominated or iodinated derivatives of acyclic hydrocarbons,41522467,KG,21141030,KG,52667448,KG,25000000,KG,12007464,KG,66870998,KG,21280612,KG,8761500,KG,10816600,KG,:,KG,8942013,KG,6759435,KG
A,20141930,Halogenated derivatives of acyclic hydrocarbons containing >= 2 different halogens,47840344,KG,9366749,KG,6937934,KG,54227181,KG,12952687,KG,8999142,KG,:,KG,0,KG,1661200,KG,:,KG,27647562,KG,3645674,KG
A,20141950,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons",3000000,KG,117468,KG,447159,KG,3000000,KG,85788,KG,604096,KG,:,KG,20800,KG,22300,KG,:,KG,23940,KG,31600,KG
A,20141970,Halogenated derivatives of aromatic hydrocarbons,178136726,KG,95446044,KG,33073353,KG,210000000,KG,76055046,KG,29369024,KG,1810176,KG,228500,KG,6315000,KG,:,KG,181448,KG,6133457,KG
A,20142100,Industrial fatty alcohols,300000000,KG,151534135,KG,245081813,KG,315300642,KG,139474478,KG,261501422,KG,N/A,N/A,31270800,KG,52387000,KG,N/A,N/A,35723088,KG,48629294,KG
A,20142210,Methanol (methyl alcohol),1200000000,KG,465543413,KG,6504716635,KG,980000000,KG,360831488,KG,5924732058,KG,:,KG,3032600,KG,621287900,KG,2033506,KG,2559616,KG,576113848,KG
A,20142220,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),316272147,KG,93302861,KG,123058079,KG,540000000,KG,79116387,KG,127347651,KG,83483947,KG,0,KG,20920700,KG,:,KG,55710497,KG,18576637,KG
A,20142230,Butan-1-ol (n-butyl alcohol),236971246,KG,31892022,KG,164422789,KG,400000000,KG,22514956,KG,107331541,KG,N/A,N/A,0,KG,4336500,KG,N/A,N/A,0,KG,2896600,KG
A,20142240,Butanols (excluding butan-1-ol (n-butyl alcohol)),66153375,KG,25845138,KG,22366103,KG,62795817,KG,98883577,KG,16628840,KG,:,KG,15869000,KG,5767300,KG,:,KG,16116362,KG,5749846,KG
A,20142263,Octanol (octyl alcohol) and isomers thereof,426168674,KG,160859338,KG,17662408,KG,377124209,KG,159053721,KG,22843509,KG,:,KG,300,KG,46810200,KG,:,KG,43506696,KG,35752479,KG
A,20142265,"Lauryl alcohol; cetyl alcohol; stearyl alcohol and other saturated monohydric alcohols (excluding methyl, propyl and isopropyl, n-butyl, other butanols, octyl)",360000000,KG,190240622,KG,61357529,KG,420178578,KG,231711718,KG,61100291,KG,36010405,KG,22952700,KG,41605500,KG,29510521,KG,22990522,KG,27688513,KG
A,20142270,Unsaturated monohydric alcohols,17347849,KG,7880560,KG,20380731,KG,9000000,KG,6877890,KG,21307256,KG,:,KG,2040300,KG,3712500,KG,:,KG,2330001,KG,5618432,KG
A,20142310,Ethylene glycol (ethanediol),1052439255,KG,115708314,KG,870400383,KG,1000000000,KG,50499603,KG,795747967,KG,99796,KG,0,KG,72481700,KG,131879,KG,6955287,KG,71460637,KG
A,20142320,"Propylene glycol (propane-1,2-diol)",669561750,KG,100280812,KG,49344702,KG,800000000,KG,84547052,KG,48026699,KG,N/A,N/A,42017000,KG,96355300,KG,N/A,N/A,54876987,KG,71053198,KG
A,20142333,D-glucitol (sorbitol),404987207,KG,6320533,KG,2704872,KG,400000000,KG,43574299,KG,4063391,KG,N/A,N/A,0,KG,4026400,KG,N/A,N/A,112642312,KG,2137780,KG
A,20142337,"Diols and polyhydric alcohols (excluding ethylene glycol and propylene glycol, D-glucitol and tetramethylene glycol having a bio-based carbon content of 100 % by mass)",650000000,KG,137272514,KG,131728247,KG,528905740,KG,123356024,KG,199709484,KG,14278903,KG,27117200,KG,22392200,KG,12491540,KG,45430434,KG,28788281,KG
A,20142338,"Butane-1,4-diol or tetramethylene glycol (1,4-butanediol) having a bio-based carbon content of 100 % by mass",70000000,KG,1144368,KG,26388846,KG,77816000,KG,1450926,KG,22438242,KG,0,KG,0,KG,83100,KG,:,KG,1225,KG,37379,KG
A,20142339,"Diols and polyhydric alcohols (excluding ethylene glycol and propylene glycol, D-glucitol)",:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: 
A,20142350,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols",8005943,KG,2250339,KG,3666324,KG,9000000,KG,3390716,KG,4548838,KG,:,KG,1059100,KG,107800,KG,:,KG,1219928,KG,189240,KG
A,20142360,"Glycerol (including synthetic; excluding crude, waters and lyes)",601480482,KG,180370918,KG,52075139,KG,628715819,KG,161019466,KG,91453154,KG,:,KG,29759100,KG,60508800,KG,:,KG,12062468,KG,64452854,KG
A,20142373,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",60002309,KG,17838368,KG,12265744,KG,80000000,KG,19090663,KG,15879390,KG,:,KG,3104800,KG,2837700,KG,43079,KG,2885980,KG,3256635,KG
A,20142375,"Aromatic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",21000000,KG,20557421,KG,15579494,KG,30000000,KG,20531226,KG,14856636,KG,:,KG,53800,KG,3123000,KG,4498,KG,158703,KG,2958444,KG
A,20142410,Monophenols,1966372084,KG,125976851,KG,175036714,KG,1527607322,KG,105538000,KG,273208235,KG,:,KG,4265100,KG,32594700,KG,:,KG,3775934,KG,29503864,KG
A,20142433,"4,4-Isopropylidenediphenol (bisphenol A; diphenylolpropane) and its salts",300000000,KG,7916916,KG,48361171,KG,200000000,KG,7356608,KG,58032226,KG,0,KG,0,KG,1945000,KG,0,KG,9987,KG,2708028,KG
A,20142439,"Polyphenols (including salts; excluding 4,4 isopropylidenediphenol) and phenol-alcohols",16483610,KG,16785120,KG,15340618,KG,10000000,KG,25378415,KG,14153517,KG,:,KG,394900,KG,2113400,KG,:,KG,13266641,KG,1566897,KG
A,20142450,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",6264338,KG,2772291,KG,5561221,KG,3200000,KG,2660699,KG,8785970,KG,5738,KG,1202000,KG,207700,KG,:,KG,995662,KG,583135,KG
A,20143120,Industrial stearic acid,210000000,KG,25938823,KG,92022573,KG,240000000,KG,22182735,KG,91307073,KG,:,KG,1199900,KG,14141600,KG,:,KG,1633054,KG,13939303,KG
A,20143130,Industrial oleic acid,116373570,KG,12988922,KG,61653431,KG,93316000,KG,10383898,KG,50857007,KG,:,KG,72500,KG,18380400,KG,0,KG,80690,KG,20367959,KG
A,20143150,Industrial tall oil fatty acids,157634558,KG,28849185,KG,21297683,KG,142228455,KG,31539696,KG,4719034,KG,N/A,N/A,19488200,KG,5083100,KG,N/A,N/A,19896463,KG,7202036,KG
