sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,40561502.637581185
Air transport services (62),39594416375.69603
Aluminium and aluminium products,1436627067.5187845
Aluminium ores and concentrates,489081.0231258432
Animal products nec,1375599825.643963
Anthracite,401515742.7541604
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,16671.66728749632
BKB/Peat Briquettes,11678835.441550912
Basic iron and steel and of ferro-alloys and first products thereof,6930193307.016864
Beverages,3127507880.22121
Biodiesels,1667701992.9777372
Biogas,0.9903023731645275
Biogasoline,1216958434.0319173
Bitumen,11869771.590925964
Blast Furnace Gas,102170.86419296928
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",9263217.405051379
Cattle,5169946.072180981
"Cement, lime and plaster",537978077.8031483
Ceramic goods,5700460230.561724
Cereal grains nec,698478741.8378083
Charcoal,1264696656.1874526
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",59934303.96258674
Chemicals nec,66132909563.70716
Coal Tar,42833996.62499
Coke Oven Coke,128146458.39405517
Coke oven gas,372179.7767656349
Coking Coal,102874407.04323404
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),4184033191.293423
Construction work (45),22649861952.567947
Copper ores and concentrates,50516.644150698135
Copper products,509499860.968009
Crops nec,6091061605.446332
"Crude petroleum and services related to crude oil extraction, excluding surveying",21054680188.162712
Dairy products,3621376028.550969
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),2737357830.4834137
Electrical machinery and apparatus n.e.c. (31),20711837529.888775
Electricity by Geothermal,3205514.4491789397
Electricity by biomass and waste,109537562.61572866
Electricity by coal,3878820869.4556613
Electricity by gas,4772747072.117922
Electricity by hydro,97371356.65450037
Electricity by nuclear,136995763.40672973
Electricity by petroleum and other oil derivatives,100750662.74254224
Electricity by solar photovoltaic,27397956.024437662
Electricity by solar thermal,5427.369638541611
"Electricity by tide, wave, ocean",14122.521514213695
Electricity by wind,17006409.08041923
Electricity nec,213450.17698320682
Ethane,52968059.3921849
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",17892699011.97926
"Financial intermediation services, except insurance and pension funding services (65)",800931975.5990874
