sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,63529424.64063962
Air transport services (62),70943852299.85643
Aluminium and aluminium products,3107897594.3383083
Aluminium ores and concentrates,1267618.300995806
Animal products nec,3297589934.772908
Anthracite,286527270.1267011
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,8164601.973090188
BKB/Peat Briquettes,389976528.3398659
Basic iron and steel and of ferro-alloys and first products thereof,9233143843.601593
Beverages,35198626242.00612
Biodiesels,2531376208.1815968
Biogas,26925739.051794376
Biogasoline,1227734280.9405127
Bitumen,65885151.65031114
Blast Furnace Gas,1835453.480097052
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",563836124.9363387
Cattle,26432472440.6208
"Cement, lime and plaster",6054924262.540189
Ceramic goods,8068773982.5034275
Cereal grains nec,10225028291.703695
Charcoal,37641645.2520378
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",396637922.3711256
Chemicals nec,28347340509.175697
Coal Tar,185400486.91484836
Coke Oven Coke,278676848.41116405
Coke oven gas,56592190.77534645
Coking Coal,105063212.84818923
"Collected and purified water, distribution services of water (41)",10352784978.58374
Computer and related services (72),40282900540.52052
Construction work (45),337231868005.3334
Copper ores and concentrates,186379793.56624806
Copper products,1396379453.252714
Crops nec,1390728837.4002924
"Crude petroleum and services related to crude oil extraction, excluding surveying",4206144913.4738183
Dairy products,104736467395.99884
Distribution and trade services of electricity,29812787705.63422
Distribution services of gaseous fuels through mains,35893689760.54857
Education services (80),73619013293.32481
Electrical machinery and apparatus n.e.c. (31),3963126243.3453846
Electricity by Geothermal,30721493.409331687
Electricity by biomass and waste,2095188488.5342746
Electricity by coal,72157046214.10374
Electricity by gas,43769914431.69025
Electricity by hydro,1245565613.7544112
Electricity by nuclear,1513719056.2379487
Electricity by petroleum and other oil derivatives,5926127361.857434
Electricity by solar photovoltaic,366679086.6784176
Electricity by solar thermal,15117698.44415136
"Electricity by tide, wave, ocean",1333668.9754657145
Electricity by wind,702985881.454707
Electricity nec,17233365.42188607
Ethane,247594.3487237583
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",44063618653.780594
"Financial intermediation services, except insurance and pension funding services (65)",12688302561.574078
Fish and other fishing products; services incidental of fishing (05),8401900170.750974
Fish products,7324514084.2017565
Food products nec,195928196615.25638
Food waste for treatment: biogasification and land application,494331984.62868655
Food waste for treatment: composting and land application,3798303572.6600385
Food waste for treatment: incineration,2321071867.2265906
Food waste for treatment: landfill,5228422527.012861
Food waste for treatment: waste water treatment,4544126572.14323
Foundry work services,732969965.6432439
Furniture; other manufactured goods n.e.c. (36),7254041482.069977
Gas Coke,0.0
Gas Works Gas,601242.1045157451
