id,PRODCOM code,HS22 code,Long name,Figure name,Quantity (kg/yr),Quantity (Mt/yr),Local production share of available quantity (%),Ecoinvent activity name or proxy,Note and references,Molecular formula (MF),Molecular weight (MW),Carbon atoms,Carbon mass share,MF and MW reference,Ecoinvent 3.11 activity region 1 location,Ecoinvent 3.11 activity region 1 share,Ecoinvent 3.11 activity region 2 location,Ecoinvent 3.11 activity region 2 share,Ecoinvent 3.11 activity region 3 location,Ecoinvent 3.11 activity region 3 share,Ecoinvent 3.12 activity region 1 location,Ecoinvent 3.12 activity region 1 share,Ecoinvent 3.12 activity region 2 location,Ecoinvent 3.12 activity region 2 share,Ecoinvent 3.12 activity region 3 location,Ecoinvent 3.12 activity region 3 share,Ecoinvent 3.12 activity region 4 location,Ecoinvent 3.12 activity region 4 share,Ecoinvent 3.12 activity region 5 location,Ecoinvent 3.12 activity region 5 share
0,20165130,390210,"Polypropylene, in primary forms",Polypropylene,11059816493,11.05981649,0.864021049,"market for polypropylene, granulate",,(C3H6)x,42.081,3,0.85627718,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Polypropylene,GLO,1,,,,,RER,1,,,,,,,,
1,20141130,271114,Ethylene,Ethylene,10337493766,10.33749377,0.879048633,market for ethylene,,C2H4,28.05,2,0.856399287,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6325,RER,1,,,,,RER w/o RU,1,,,,,,,,
2,20141140,271114,Propene (propylene),Propylene,9081741202,9.081741202,0.944094186,market for propylene,,C3H6,42.08,3,0.856297529,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/8252,RER,1,,,,,RER w/o RU,1,,,,,,,,
3,20161050,390120,"Polyethylene having a specific gravity of >= 0,94, in primary forms",Polyethylene,7628879471,7.628879471,0.783692922,"market for polyethylene, high density, granulate",,(C2H4)n,28.054,2,0.85627718,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Polyethylene,GLO,1,,,,,RER,1,,,,,,,,
4,20142210,290511,Methanol (methyl alcohol),Methanol,6904732058,6.904732058,0.141931648,market for methanol,,CH4O,32.042,1,0.374851757,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/887,RER,0.35,US,0.23,RoW,0.42,RER w/o RU,0.18,TT,0.21,US,0.23,RU,0.16,RoW,0.22
5,20141223,290220,Benzene,Benzene,6234476067,6.234476067,0.882870815,market for benzene,,C6H6,78.11,6,0.922621943,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/241,RER,1,,,,,RER,1,,,,,,,,
6,20163010,390410,"Polyvinyl chloride, not mixed with any other substances, in primary forms",Polyvinyl chloride,5008047468,5.008047468,0.892721884,"market for polyvinyl chloride, emulsion polymerised",,C2H3Cl,62.5,2,0.384352,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6338,RER,1,,,,,RER,1,,,,,,,,
7,20161039,390110,"Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)",Polyethylene,4474213876,4.474213876,0.796106788,"market for polyethylene, low density, granulate",,(C2H4)n,28.054,2,0.85627718,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Polyethylene,GLO,1,,,,,RER,1,,,,,,,,
8,20161035,390110,"Linear polyethylene having a specific gravity < 0,94, in primary forms",Polyethylene,4238710053,4.238710053,0.822537507,"market for polyethylene, linear low density, granulate",,(C2H4)n,28.054,2,0.85627718,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Polyethylene,GLO,1,,,,,GLO,1,,,,,,,,
9,20141250,290250,Styrene,Styrene,3627976392,3.627976392,0.826907255,market for styrene,,C8H8,104.15,8,0.922592415,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7501,RER,1,,,,,RER,1,,,,,,,,
10,20143430,291736,Phthalic anhydride; terephthalic acid and its salts,Terephthalic acid,3491283735,3.491283735,0.801997263,market for purified terephthalic acid,"Globally: >3.7 Mt phthalic anhydride production capacity in 1996 (Lorz et al., 2007) vs 81.6 Mt terephthalic acid in 2021 (Tomás et al., 2024). With no more recent trustworthy data, phthalic anhydride is assumed to be very small compared to terephthalic acid",C8H6O4,166.13,8,0.578390417,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7489,GLO,1,,,,,GLO,1,,,,,,,,
11,20164062,390761,Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g,Polyethylene terephthalate,3349184970,3.34918497,0.656876231,"market for polyethylene terephthalate, granulate, amorphous",,C12H14O4,222.24,12,0.648542117,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/18721140,GLO,1,,,,,GLO,1,,,,,,,,
