id,PRODCOM code,HS22 code,Long name,Figure name,Quantity (kg/yr),Quantity (Mt/yr),Local production share of available quantity (%),Ecoinvent activity name or proxy
0,20165130,390210,"Polypropylene, in primary forms",Polypropylene,11059816493,11.05981649,0.864021049,"market for polypropylene, granulate"
1,20141130,271114,Ethylene,Ethylene,10337493766,10.33749377,0.879048633,market for ethylene
2,20141140,271114,Propene (propylene),Propylene,9081741202,9.081741202,0.944094186,market for propylene
3,20161050,390120,"Polyethylene having a specific gravity of >= 0,94, in primary forms",Polyethylene,7628879471,7.628879471,0.783692922,"market for polyethylene, high density, granulate"
4,20142210,290511,Methanol (methyl alcohol),Methanol,6904732058,6.904732058,0.141931648,market for methanol
5,20141223,290220,Benzene,Benzene,6234476067,6.234476067,0.882870815,market for benzene
6,20163010,390410,"Polyvinyl chloride, not mixed with any other substances, in primary forms",Polyvinyl chloride,5008047468,5.008047468,0.892721884,"market for polyvinyl chloride, emulsion polymerised"
7,20161039,390110,"Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)",Polyethylene,4474213876,4.474213876,0.796106788,"market for polyethylene, low density, granulate"
8,20161035,390110,"Linear polyethylene having a specific gravity < 0,94, in primary forms",Polyethylene,4238710053,4.238710053,0.822537507,"market for polyethylene, linear low density, granulate"
9,20141250,290250,Styrene,Styrene,3627976392,3.627976392,0.826907255,market for styrene
10,20143430,291736,Phthalic anhydride; terephthalic acid and its salts,Terephthalic acid,3491283735,3.491283735,0.801997263,market for purified terephthalic acid
11,20164062,390761,Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g,Polyethylene terephthalate,3349184970,3.34918497,0.656876231,"market for polyethylene terephthalate, granulate, amorphous"
12,20141160,290124,"Buta-1,3-diene and isoprene",Butadiene,2808940257,2.808940257,0.996817214,market for butadiene
13,20141150,290123,Butene (butylene) and isomers thereof,Butylene,2000046666,2.000046666,0.999976668,"market for butene, mixed"
14,20162035,390311,"Expansible polystyrene, in primary forms",Polystyrene,1864065177,1.864065177,0.887072495,"market for polystyrene, expandable"
15,20142310,290531,Ethylene glycol (ethanediol),Ethylene glycol,1795747967,1.795747967,0.556871019,market for ethylene glycol
16,20146375,291020,Methyloxirane (propylene oxide),Propylene oxide,1650938177,1.650938177,0.981686695,"market for propylene oxide, liquid"
17,20162039,390319,"Polystyrene, in primary forms (excluding expansible polystyrene)",Polystyrene,1592476459,1.592476459,0.931638074,"market for polystyrene, extruded"
