Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg),"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
"Polypropylene, in primary forms",Polypropylene,11.05981649,0.864021049,0.85627718,2.289803764792132,0.0875813243376466,0.466132088617711,0.0,0.0,0.0,0.0,0.0,3.049225589995086,2.634595092905198,1.841080004334483,0.0974793437734966,0.0,0.0,0.0,0.0,0.0,0.0,2.3416386163024563,2.0240234205117176,3.13744920611273,6.186674796107816,33.723875461957626,68.42348792826061,5.479087822415186,25.89809338220269,60.59770584850567,0.0,0.0
Ethylene,Ethylene,10.33749377,0.879048633,0.856399287,0.0,1.8229857480794645,0.0,0.0,0.0,0.0,0.0,0.0,1.8233934504459255,1.600745290093138,0.0,1.8790377165437917,0.0,0.0,0.0,0.0,0.0,0.0,1.879215073486688,1.6640826066083536,3.13789661323645,4.961290063682376,18.849318434243557,51.28730512447947,5.017111686723138,19.426374114658728,51.86436080489463,0.0,0.0
Propene (propylene),Propylene,9.081741202,0.944094186,0.856297529,1.822744240221504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82274423930588,1.7191931166211138,1.887231562315007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.887417003380576,1.787217103395073,3.137523766027891,4.960268005333771,16.553691458812356,45.047870317002065,5.024940769408467,17.14103276495675,45.63521162314645,0.0,0.0
Methanol (methyl alcohol),Methanol,6.904732058,0.141931648,0.374851757,0.0,0.0,0.8725298121456513,0.0,0.0,0.0,0.0,0.0,0.9206227087243252,0.1277124167039985,0.0,0.0,0.7734093716270001,0.0,0.0,0.0,0.0,0.0,0.8069346232451635,0.100360321720724,1.3734785591385397,2.2941012678628647,6.356653130251644,15.840154568511165,2.1804131823837034,5.571667361831032,15.055168800090557,0.0,0.0
Benzene,Benzene,6.234476067,0.882870815,0.922621943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039724466279052,2.0708824605839395,1.8229157723490144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0795315128667213,2.1111133254052867,1.8689277277304763,3.3805402622168845,5.4514227228008245,12.910867138080642,33.98676449640172,5.491653587622171,13.161685501964044,34.23758286028511,2.039724466279052,2.0795315128667213
Styrene,Styrene,3.627976392,0.826907255,0.922592415,0.0,0.524959770645461,0.0,0.0,0.0,0.0,0.0,1.6193501668735235,3.290624492134093,2.662876420544558,0.1566001004235324,0.3426978406915177,0.0139329499563941,0.0,0.0,0.0,0.0,1.320801958232136,3.4341758332706727,2.776166296412139,3.3804320699138293,6.671056562047922,11.938307972399478,24.202435716806544,6.814607903184502,12.459108849082929,24.723236593489993,1.6193501668735235,1.320801958232136
Phthalic anhydride; terephthalic acid and its salts,Terephthalic acid,3.491283735,0.801997263,0.578390417,0.0,0.0,0.0,0.0,0.0,1.6028377513517584,0.0,0.0,2.522800194720736,2.023278851261897,0.0,0.0,0.0,0.0,0.0,1.5862268127062071,0.0,0.0,2.5077724736246974,2.011226660073747,2.1192560038092583,4.642056198529994,8.80781128648334,16.2067353028837,4.627028477433956,8.755345248246623,16.154269264646985,1.6028377513517584,1.5862268127062071
"Buta-1,3-diene and isoprene",Butadiene,2.808940257,0.996817214,0.888223331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.668062195900209,2.6595703248959683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7221810111665787,2.713516891554772,3.254501754556573,5.922563950456782,7.494427310243918,16.63612830509501,5.976682765723152,7.64644382910677,16.78814482395786,0.0,0.0
Butene (butylene) and isomers thereof,Butylene,2.000046666,0.999976668,0.856322966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8237710289510107,1.8237284767253632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9168250578465007,1.9167803344842516,3.137616968669886,4.961387997620896,3.6476271660008583,9.923007523374089,5.054442026516387,3.8337395662511504,10.109119923624382,0.0,0.0
Ethylene glycol (ethanediol),Ethylene glycol,1.795747967,0.556871019,0.387014661,0.0,1.1060938114769638,0.0655472659548853,0.0,0.0,0.0,0.0,0.0,2.3143898688517264,1.0975334988174508,0.0,1.038473508069004,0.0,0.0,0.0,0.0,0.0,0.0,2.2670109110048853,1.142003408557278,1.4180441441969027,3.7324340130486293,4.156060901835884,6.702510790893728,3.685055055201788,4.070980234603841,6.617430123661684,0.0,0.0
Methyloxirane (propylene oxide),Propylene oxide,1.650938177,0.981686695,0.620402893,1.3987992789953565,0.0,0.008508454905967,0.0,0.0,0.0,0.0,0.0,3.995652602559848,3.886297433257045,1.047360621417805,0.0957331966624949,0.0,0.0,0.0,0.0,0.0,0.4424259658885245,3.888683062324504,3.83502039976742,2.2731921503652486,6.268844752925096,6.5965754235954615,10.349475128290173,6.161875212689752,6.419975325844794,10.172875030539506,0.0,0.4424259658885245
"1,2-Dichloroethane (ethylene dichloride)",Ethylene dichloride,1.202939382,0.756480346,0.242744543,0.0,0.5580699439847259,0.0,0.0,0.0,0.0,0.0,0.0,1.4122204082076308,1.0252944761210612,0.0,0.5631696825173407,0.0,0.0,0.0,0.0,0.0,0.0,1.470461002952138,1.0738714847165458,0.8894300718413954,2.3016504800490263,1.6988155450970752,2.768746006050179,2.3598910747935333,1.7688754501463453,2.838805911099449,0.0,0.0
