,Priority code,PRODCOM code,Long name,Figure name,Quantity (Mt),Ecoinvent 3.11 activity name proxy,Molecular formula (MF),Molecular weight (MW),Carbon atoms,ecoinvent activity region,"GHG unit impact (IPCC 2021 GWP100, kg CO2e/kg)",propylene,ethylene,methanol,"xylene, mixed",o-xylene,p-xylene,"toluene, liquid",benzene,conseq_RER_GLO_RoW,"GHG unit impact of end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","GHG total unit impact with end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg)",x_axis,"BTX fraction GHG footprint (IPCC 2021 GWP100, kg CO2e/kg)"
0,1,,,Polyethylene,14.026599412000001,,(C2H4)n,28.054,2,,2.8603854894697336,0.0,2.035186183408522,0.0,0.0,0.0,0.0,0.0,0.0,,0.8562771797248164,3.71666266919455,40.1214814246895,52.132138410326625,0.0,0.0
1,2,20165130,"Polypropylene, in primary forms",Polypropylene,10.4388995,"market for polypropylene, granulate",(C3H6)x,42.081,3,GLO,3.049225589995093,2.289803764792132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.049225589995093,0.8562771797248164,3.9055027697199094,31.83055948678698,40.76915091007778,14.026599412000001,0.0
2,3,,,Polystyrene,3.117940206,,(C8H8)x,104.152,8,,7.279743738813115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9225746985175513,8.202318437330666,22.697805692622175,25.574338438168375,24.465498912,0.0
3,4,20141140,Propene (propylene),Propylene,9.380366283,market for propylene,C3H6,42.08,3,RER,1.8209974620277063,1.8209974620277076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8209974620277063,0.8562975285171104,2.6772949905448167,17.08162319423327,25.114007658951405,27.583439118,0.0
4,5,20141130,Ethylene,Ethylene,9.244465008,market for ethylene,C2H4,28.05,2,RER,1.8209974169803824,0.0,1.8209974169803824,0.0,0.0,0.0,0.0,0.0,0.0,1.8209974169803824,0.8563992869875222,2.6773967039679047,16.834146900933533,24.751100142365832,36.963805401,0.0
5,6,,,Polyethylene terephthalate,4.090482292,,C12H14O4,222.24,12,,3.752403852968829,0.0,0.30996595558687345,0.0,0.0,0.0,1.3143296765359418,0.0,0.0,,0.6485421166306695,4.400945969599499,15.349141513001566,18.00199155669552,46.208270409,1.3143296765359418
6,7,20141223,Benzene,Benzene,5.990570951,market for benzene,C6H6,78.11,6,RER,2.064759352532246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0183985724911406,2.064759352532246,0.9226219434131354,2.9873812959453816,12.369087398085242,17.896119611051137,50.298752701,2.0183985724911406
7,8,,,Polyvinyl chloride,5.610365991,,C2H3Cl,62.5,2,,2.344604178629622,0.0,0.7658302434722146,0.0,0.0,0.0,0.0,0.0,0.0,,0.38435199999999997,2.728956178629622,13.15408754614012,15.310442935512953,56.289323652,0.0
8,9,20143430,Phthalic anhydride; terephthalic acid and its salts,Terephthalic acid,4.032953658,market for purified terephthalic acid,C8H6O4,166.13,8,GLO,2.5228001947207344,0.0,0.0,0.0,0.0,0.0,1.6028377513517609,0.0,0.0,2.5228001947207344,0.578390417143201,3.1011906118639354,10.1743362737021,12.506958022271917,61.899689643,1.6028377513517609
9,10,20165450_2,Polyamide -6 (PA 6),Polyamide -6,1.25668097,market for nylon 6,C30H56N5O6-,582.8,30,RER,9.306554910055352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.306554910055352,0.618273850377488,9.92482876043284,11.695370451726621,12.472343433744639,65.932643301,0.0
10,11,20141250,Styrene,Styrene,2.992240374,market for styrene,C8H8,104.15,8,RER,3.220284263371907,0.0,0.5117002741714876,0.0,0.0,0.0,0.0,0.0,1.6084475356226198,3.220284263371907,0.9225924147863657,4.142876678158273,9.635864588618269,12.396482860888188,67.189324271,1.6084475356226198
11,12,20165450_1,"Polyamide -6,6 (PA 66)","Polyamide -6,6",1.068178825,market for nylon 6-6,C12H20N2O2,224.3,12,RER,8.252259825220545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.252259825220545,0.6425858225590727,8.894845647779617,8.814889203698787,9.501285772601594,70.18156464500001,0.0
12,13,20142210,Methanol (methyl alcohol),Methanol,7.123081145,market for methanol,CH4O,32.042,1,RER,0.8998163447238952,0.0,0.0,0.8709326744865984,0.0,0.0,0.0,0.0,0.0,0.8998163447238952,0.3748517570688471,1.2746681017927424,6.409464839065597,9.079564322012823,71.24974347000001,0.0
13,14,20141160,"Buta-1,3-diene and isoprene",Butadiene,2.049547428,market for butadiene,C4H6,54.09,4,RER,2.6680621959002075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6680621959002075,0.8882233314845627,3.5562855273847704,5.468320011351302,7.2887758558850795,78.37282461500001,0.0
14,15,20146375,Methyloxirane (propylene oxide),Propylene oxide,1.512054785,"market for propylene oxide, liquid",C3H6O,58.08,3,RER,3.9587960731779583,1.38942106352714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9587960731779583,0.6204028925619836,4.579198965739942,5.9859165452879415,6.92399970761413,80.42237204300001,0.0
15,16,,,Polyvinyl acetate,1.394640922,,(C4H6O2)x,86.09,4,,3.7424134561299054,0.0,0.6054816411459772,0.42100187141193485,0.0,0.0,0.0,0.0,0.0,,0.558067139040539,4.300480595170445,5.219322952962218,5.9976262222916175,81.93442682800001,0.0
16,17,20143385,Adipic acid; its salts and esters,Adipic acid,0.581289067,market for adipic acid,C6H10O4,146.14,6,GLO,9.370551373579207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3726182507902158,9.370551373579207,0.4931298754618859,9.863681249041093,5.446999065223427,5.7336500704404925,83.32906775000001,1.3726182507902158
17,18,20141150,Butene (butylene) and isomers thereof,Butylene,1.800076728,"market for butene, mixed",C8H16,112.21,8,RER,1.823771028951012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.823771028951012,0.8563229658675697,2.6800939948185816,3.282927786415331,4.824374828925482,83.91035681700001,0.0
18,19,20162070,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",ABS,0.817325644,market for acrylonitrile-butadiene-styrene copolymer,C15H17N,211.3,15,GLO,4.652506044090016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652506044090016,0.8526502602934216,5.505156304383437,3.8026124986997645,4.499505421800852,85.710433545,0.0
